Metagenome,MAG,smORF,Length,Mapped,TPM,log (TPM),AMP_family,Domain,Phylum,Class,Order,Family,Genus,Species
M39,Aegir_M39_B150,GLJOBBPH_120_8,87,1,811.920827,2.909513682,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,JAUXCJ01,
M39,Aegir_M39_B154,IPGEANND_22_159,132,2,1070.259272,3.029488999,CDP,Bacteria,Krumholzibacteriota,Krumholzibacteriia,Krumholzibacteriales,Krumholzibacteriaceae,4484-7,
M39,Aegir_M39_B155,KKPGHLON_127_1,108,4,2616.189332,3.41766917,CLP,Bacteria,Planctomycetota,UBA1135,UBA2386,GCA-002748355,JAJRTL01,
M39,Aegir_M39_B161,EACKFKNK_88_3,99,3,2140.518544,3.330518995,CLP,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_A,
M39,Aegir_M39_B166,GHHMGHBK_162_1,75,4,3767.312637,3.576031662,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M39,Aegir_M39_B166,GHHMGHBK_13_63,111,2,1272.740756,3.104739951,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M39,Aegir_M39_B17,CBJJPFKK_21_6,165,15,6421.555632,3.807640249,CLP,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Persephonella_A,
M39,Aegir_M39_B171,EIKHOBMN_3_1,72,9,8829.638994,3.945942948,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M39,Aegir_M39_B171,EIKHOBMN_30_1,96,9,6622.229246,3.821004211,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M39,Aegir_M39_B171,EIKHOBMN_34_12,126,9,5045.507997,3.702904899,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M39,Aegir_M39_B172,EBJEFPEO_57_42,117,2,1207.471999,3.081877068,CLP,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAADFK01,
M39,Aegir_M39_B177,DPONBGFN_78_39,129,6,3285.447068,3.516594475,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
M39,Aegir_M39_B179,DCMKIBAL_34_5,90,4,3139.427198,3.496850416,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,S143-33,
M39,Aegir_M39_B179,DCMKIBAL_42_1,102,4,2770.082822,3.442492754,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,S143-33,
M39,Aegir_M39_B180,PILMEDLM_205_10,102,7,4847.644938,3.685530803,CLP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,Desulfatiglandaceae,B111-G9,
M39,Aegir_M39_B181,FNBCNFFH_50_34,84,3,2522.753998,3.401874903,CLP,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JAADHO01,
M39,Aegir_M39_B184,EDPJEEBL_152_13,132,11,5886.425996,3.769851688,CLP,Archaea,Asgardarchaeota,Heimdallarchaeia,Heimdallarchaeales,Heimdallarchaeaceae,,
M39,Aegir_M39_B187,KKKOIOLA_50_5,84,4,3363.671998,3.52681364,CLP,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,QNZC01,
M39,Aegir_M39_B192,HEEDOPCH_84_9,90,4,3139.427198,3.496850416,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M39,Aegir_M39_B193,IPACGEIK_67_26,99,1,713.5061813,2.85339774,CDP,Archaea,Thermoproteota,Thermoprotei,Thermofilales,B69-G16,B69-G16,
M39,Aegir_M39_B193,IPACGEIK_69_8,102,1,692.5207054,2.840432763,CLP,Archaea,Thermoproteota,Thermoprotei,Thermofilales,B69-G16,B69-G16,
M39,Aegir_M39_B196,BKLBJKCE_204_14,78,1,905.6039994,2.956938332,CLP,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,JALSRD01,JALSRD01,
M39,Aegir_M39_B198,OHIALCHJ_198_27,81,2,1744.126221,3.241577911,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M39,Aegir_M39_B199,KEIMIPLH_326_7,132,11,5886.425996,3.769851688,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
M39,Aegir_M39_B2,GFCMJPMJ_158_5,108,1,654.0473329,2.815609179,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,S145-25,
M39,Aegir_M39_B20,KNGHPBFF_75_4,84,4,3363.671998,3.52681364,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M39,Aegir_M39_B20,KNGHPBFF_207_14,117,1,603.7359996,2.780847073,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M39,Aegir_M39_B21,OONNNJMN_37_2,126,2,1121.223999,3.049692385,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,,
M39,Aegir_M39_B23,CIBCBEEE_16_2,84,11,9250.097994,3.966146334,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,,
M39,Aegir_M39_B3,OHFHPIDA_32_3,138,1,511.8631301,2.709153848,CDP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,S016-13,
M39,Aegir_M39_B30,HOCLGGFK_69_8,132,3,1605.388908,3.205580258,CDP,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JAADDV01,
M39,Aegir_M39_B32,JGCEHHJG_78_4,93,1,759.5388382,2.880549986,CDP,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,,
M39,Aegir_M39_B36,GGJMJOFG_34_8,126,3,1681.835999,3.225783644,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M39,Aegir_M39_B36,GGJMJOFG_53_9,120,2,1177.285199,3.070881684,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M39,Aegir_M39_B36,GGJMJOFG_17_21,132,1,535.129636,2.728459003,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M39,Aegir_M39_B40,JEICAJEH_27_102,99,22,15697.13599,4.195820421,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M39,Aegir_M39_B40,JEICAJEH_13_24,87,19,15426.49571,4.188267283,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M39,Aegir_M39_B41,JEGBJGEC_124_10,84,3,2522.753998,3.401874903,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,S012-113,
M39,Aegir_M39_B43,LPCKDOMF_170_1,96,9,6622.229246,3.821004211,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M39,Aegir_M39_B45,BHJKMAJD_15_20,126,33,18500.19599,4.267176329,CLP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,G60ANME1,G60ANME1 sp025464325
M39,Aegir_M39_B45,BHJKMAJD_43_14,87,11,8931.129098,3.950906367,CLP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,G60ANME1,G60ANME1 sp025464325
M39,Aegir_M39_B5,CBKCKAFE_6_26,96,9,6622.229246,3.821004211,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
M39,Aegir_M39_B51,DKEELOGD_82_18,57,4,4956.990312,3.69521807,CDP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
M39,Aegir_M39_B51,DKEELOGD_17_6,201,8,2811.427341,3.448926864,CDP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
M39,Aegir_M39_B51,DKEELOGD_101_1,87,2,1623.841654,3.210543678,CDP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
M39,Aegir_M39_B52,LKAFJBHK_115_11,63,1,1121.223999,3.049692385,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,
M39,Aegir_M39_B52,LKAFJBHK_49_2,135,2,1046.475733,3.019729162,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,
M39,Aegir_M39_B54,HDEKGLIK_70_6,99,2,1427.012363,3.154427736,CDP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,Methanoxibalbensis,
M39,Aegir_M39_B54,HDEKGLIK_228_3,135,2,1046.475733,3.019729162,CDP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,Methanoxibalbensis,
M39,Aegir_M39_B59,KOPDDENJ_8_102,99,2,1427.012363,3.154427736,CLP,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,B65-G9,
M39,Aegir_M39_B61,PKGDLEHC_372_1,108,2,1308.094666,3.116639175,CDP,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodalaceae,DRKF01,
M39,Aegir_M39_B64,BHJOCGJN_3_1,114,5,3098.118945,3.491098087,CLP,Bacteria,Chloroflexota,Anaerolineae,B4-G1,B4-G1,JALWUZ01,
M39,Aegir_M39_B65,JDINJJPO_7_2,102,1,692.5207054,2.840432763,CLP,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_A,
M39,Aegir_M39_B67,HCGIIHJE_43_1,111,8,5090.963024,3.706799943,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
M39,Aegir_M39_B68,BMNDMLLO_81_4,123,6,3445.712778,3.537279073,CLP,Bacteria,Myxococcota,Polyangia,HGW-17,SLPX01,,
M39,Aegir_M39_B71,OEDHKPFD_80_14,105,9,6054.609596,3.782086145,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp021647585
M39,Aegir_M39_B71,OEDHKPFD_18_7,108,6,3924.283997,3.593760429,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp021647585
M39,Aegir_M39_B84,KCHELPBI_263_5,99,30,21405.18544,4.330518995,CLP,Bacteria,Desulfobacterota,Desulfofervidia,Desulfofervidales,Desulfofervidaceae,Desulfofervidus,
M39,Aegir_M39_B87,DAKCOGMA_68_1,78,3,2716.811998,3.434059587,CLP,Bacteria,Patescibacteriota,Patescibacteriia,UBA10025,JAHIVO01,,
M39,Aegir_M39_B90,EHFDCMEE_48_1,102,2,1385.041411,3.141462758,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,
M39,Aegir_M39_B96,LBJGNDLM_58_1,117,6,3622.415998,3.558998323,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,JAADEQ01,
M39,Aegir_M39_B97,EBJGJGPE_487_2,129,8,4380.59609,3.641533211,CDP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAKISE01,
