Metagenome,MAG,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species,complete annotation
M25,Aegir_M25_B217,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAGRMG01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAGRMG01;s__
M25,Aegir_M25_B218,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,JBEVCE01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Pyrodictiaceae;g__JBEVCE01;s__
M25,Aegir_M25_B219,0,Bacteria,Patescibacteriota,Dojkabacteria,B142,JAFGMG01,0,0,d__Bacteria;p__Patescibacteriota;c__Dojkabacteria;o__B142;f__JAFGMG01;g__;s__
M25,Aegir_M25_B22,0,Bacteria,Aquificota,Aquificia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium_B,0,d__Bacteria;p__Aquificota;c__Aquificia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Desulfurobacterium_B;s__
M25,Aegir_M25_B220,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,JAADED01,JALSPZ01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__JAADED01;g__JALSPZ01;s__
M25,Aegir_M25_B221,2,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,0,0,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__JALVZP01;g__;s__
M25,Aegir_M25_B222,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__WAML01;s__
M25,Aegir_M25_B223,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,B5-G16,0,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__B5-G16;s__
M25,Aegir_M25_B224,3,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,0,d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__Dissulfuribacteraceae;g__Dissulfuribacter;s__
M25,Aegir_M25_B225,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__;s__
M25,Aegir_M25_B226,1,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,JALUVI01,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__JALUVI01;s__
M25,Aegir_M25_B227,0,Bacteria,Patescibacteriota,Minisyncoccia,Moranbacterales,GCA-2747515,JALVQA01,0,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__GCA-2747515;g__JALVQA01;s__
M25,Aegir_M25_B228,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Calypsonella,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Calypsonella;s__
M25,Aegir_M25_B229,3,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0,d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix;s__
M25,Aegir_M25_B23,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DRMV01,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__DRMV01;g__DRMV01;s__
M25,Aegir_M25_B230,1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,0,0,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__;s__
M25,Aegir_M25_B231,3,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,0,d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfatatoraceae;g__Thermodesulfatator_A;s__
M25,Aegir_M25_B232,3,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0,d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix;s__
M25,Aegir_M25_B233,0,Archaea,Korarchaeota,Korarchaeia,Korarchaeales,Korarchaeaceae,WALU01,WALU01 sp027491395,d__Archaea;p__Korarchaeota;c__Korarchaeia;o__Korarchaeales;f__Korarchaeaceae;g__WALU01;s__WALU01 sp027491395
M25,Aegir_M25_B234,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,JALSKU01,JALSKU01,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JALSKU01;g__JALSKU01;s__
M25,Aegir_M25_B235,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JALSTN01;s__
M25,Aegir_M25_B236,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor;s__
M25,Aegir_M25_B237,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__
M25,Aegir_M25_B238,2,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UWMA-0217;f__UWMA-0217;g__JALSHZ01;s__
M25,Aegir_M25_B239,7,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA2385;g__J125;s__
M25,Aegir_M25_B24,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__
M25,Aegir_M25_B240,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,WAKO01,0,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__J096;g__WAKO01;s__
M25,Aegir_M25_B241,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutimonas;s__
M25,Aegir_M25_B242,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__
M25,Aegir_M25_B243,0,Archaea,Micrarchaeota,Micrarchaeia,CAILAH01,CAILAH01,0,0,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__CAILAH01;f__CAILAH01;g__;s__
M25,Aegir_M25_B244,0,Bacteria,DYJV01,DYJV01,DYJV01,DYJV01,0,0,d__Bacteria;p__DYJV01;c__DYJV01;o__DYJV01;f__DYJV01;g__;s__
M25,Aegir_M25_B245,3,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JALSSE01,0,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__JALSSE01;s__
M25,Aegir_M25_B246,0,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermocladiaceae,0,0,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__;s__
M25,Aegir_M25_B247,8,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0,d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__QOAL01;g__;s__
M25,Aegir_M25_B248,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__S143-63;s__
M25,Aegir_M25_B249,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,UBA4466 sp013373595,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466;s__UBA4466 sp013373595
M25,Aegir_M25_B25,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,JACXUG01,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__JACXUG01;s__
M25,Aegir_M25_B250,0,Archaea,Asgardarchaeota,Njordarchaeia,Njordarchaeales,JAMOTR01,JAMOTR01,0,d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__JAMOTR01;g__JAMOTR01;s__
M25,Aegir_M25_B251,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Pyrodictiaceae;g__WAQM01;s__
M25,Aegir_M25_B252,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Achromatium;s__
M25,Aegir_M25_B253,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Villigracilaceae,S143-42,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__S143-42;s__
M25,Aegir_M25_B254,3,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__JAJRVT01;s__
M25,Aegir_M25_B255,8,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__CAJQPC01;g__CAJQPC01;s__
M25,Aegir_M25_B26,2,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,UBA11858,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__UBA11858;s__
M25,Aegir_M25_B27,1,Bacteria,JALSQH01,JALSQH01,JALSQH01,JALSQH01,JALSQH01,0,d__Bacteria;p__JALSQH01;c__JALSQH01;o__JALSQH01;f__JALSQH01;g__JALSQH01;s__
M25,Aegir_M25_B28,0,Archaea,Nanobdellota,Nanobdellia,Woesearchaeales,UBA525,0,0,d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__UBA525;g__;s__
M25,Aegir_M25_B29,1,Bacteria,Spirochaetota,Leptospiria,Leptospirales,Leptonemataceae,JAGRNA01,0,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptonemataceae;g__JAGRNA01;s__
M25,Aegir_M25_B3,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__
M25,Aegir_M25_B30,0,Bacteria,Chloroflexota,Anaerolineae,B4-G1,DUEL01,JBDOIF01,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__DUEL01;g__JBDOIF01;s__
M25,Aegir_M25_B31,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__S143-63;s__
M25,Aegir_M25_B32,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Putridiphycobacter;s__
M25,Aegir_M25_B33,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,JALVHX01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__JALVHX01;s__
M25,Aegir_M25_B34,3,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,S016-13,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__S016-13;s__
M25,Aegir_M25_B35,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylohalobius,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylothermaceae;g__Methylohalobius;s__
M25,Aegir_M25_B36,1,Bacteria,Chloroflexota,Anaerolineae,J102,J102,M2005,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__J102;f__J102;g__M2005;s__
M25,Aegir_M25_B37,1,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Ch27,JALSTC01,JALSTC01 sp026983935,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Ch27;g__JALSTC01;s__JALSTC01 sp026983935
M25,Aegir_M25_B38,6,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,Desulfatiglandaceae,JAGGTJ01,0,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__JAGGTJ01;s__
M25,Aegir_M25_B39,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__
M25,Aegir_M25_B4,1,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,0,0,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__Bipolaricaulales;f__Bipolaricaulaceae;g__;s__
M25,Aegir_M25_B40,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutimonas;s__
M25,Aegir_M25_B41,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__
M25,Aegir_M25_B42,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__WAML01;s__
M25,Aegir_M25_B43,0,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,S014-50,0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Aciduliprofundales;f__Aciduliprofundaceae;g__S014-50;s__
M25,Aegir_M25_B44,0,Archaea,Asgardarchaeota,Njordarchaeia,Njordarchaeales,Panguiarchaeaceae,0,0,d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Panguiarchaeaceae;g__;s__
M25,Aegir_M25_B45,0,Bacteria,Spirochaetota,Leptospiria,Leptospirales,Leptonemataceae,JAGRNA01,0,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptonemataceae;g__JAGRNA01;s__
M25,Aegir_M25_B46,3,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,0,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__
M25,Aegir_M25_B47,1,Bacteria,Planctomycetota,SZUA-567,SZUA-567,JAFGWW01,0,0,d__Bacteria;p__Planctomycetota;c__SZUA-567;o__SZUA-567;f__JAFGWW01;g__;s__
M25,Aegir_M25_B48,1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,S143-33,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__S143-33;g__S143-33;s__
M25,Aegir_M25_B49,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JADJGA01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADJGA01;s__
M25,Aegir_M25_B5,2,Bacteria,J088,J088,J088,J088,J088,0,d__Bacteria;p__J088;c__J088;o__J088;f__J088;g__J088;s__
M25,Aegir_M25_B50,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,MONJU,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__MONJU;s__
M25,Aegir_M25_B51,1,Bacteria,WOR-3,Hydrothermia,WGAB01,WGAB01,WGAB01,0,d__Bacteria;p__WOR-3;c__Hydrothermia;o__WGAB01;f__WGAB01;g__WGAB01;s__
M25,Aegir_M25_B52,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor;s__
M25,Aegir_M25_B53,0,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,Oceanithermus,Oceanithermus sp026981865,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__Oceanithermus;s__Oceanithermus sp026981865
M25,Aegir_M25_B54,4,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__DRQF01;g__DRQF01;s__
M25,Aegir_M25_B55,3,Bacteria,Pseudomonadota,Gammaproteobacteria,S144-34,S144-34,S144-34,S144-34 sp026989495,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__S144-34;f__S144-34;g__S144-34;s__S144-34 sp026989495
M25,Aegir_M25_B56,7,Bacteria,Calditrichota,Calditrichia,RBG-13-44-9,J042,WGBF01,0,d__Bacteria;p__Calditrichota;c__Calditrichia;o__RBG-13-44-9;f__J042;g__WGBF01;s__
M25,Aegir_M25_B57,1,Bacteria,Aquificota,Aquificia,Aquificales,QOAS01,QOAS01,0,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__QOAS01;g__QOAS01;s__
M25,Aegir_M25_B58,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__
M25,Aegir_M25_B59,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,0,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__;s__
M25,Aegir_M25_B6,2,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Nautiliales;f__Nautiliaceae;g__Caminibacter;s__
M25,Aegir_M25_B60,0,Bacteria,WOR-3,Hydrothermia,B15-G9,B15-G9,B15-G9,0,d__Bacteria;p__WOR-3;c__Hydrothermia;o__B15-G9;f__B15-G9;g__B15-G9;s__
M25,Aegir_M25_B61,0,Bacteria,Patescibacteriota,Dojkabacteria,GCA-002793355,GCA-002793355,0,0,d__Bacteria;p__Patescibacteriota;c__Dojkabacteria;o__GCA-002793355;f__GCA-002793355;g__;s__
M25,Aegir_M25_B62,1,Bacteria,JALSQH01,JALSQH01,JALSQH01,JALSQH01,JALSQH01,0,d__Bacteria;p__JALSQH01;c__JALSQH01;o__JALSQH01;f__JALSQH01;g__JALSQH01;s__
M25,Aegir_M25_B63,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,Pyrolobus,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Pyrodictiaceae;g__Pyrolobus;s__
M25,Aegir_M25_B64,2,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Persephonella_A,0,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella_A;s__
M25,Aegir_M25_B65,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__QPIN01 sp026988195
M25,Aegir_M25_B66,1,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter,0,d__Bacteria;p__Thermosulfidibacterota;c__Thermosulfidibacteria;o__Thermosulfidibacterales;f__Thermosulfidibacteraceae;g__Thermosulfidibacter;s__
M25,Aegir_M25_B67,1,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,JALXEW01,JALXEW01,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__JALXEW01;g__JALXEW01;s__
M25,Aegir_M25_B68,0,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-100275,DSM-100275,Inmirania,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DSM-100275;f__DSM-100275;g__Inmirania;s__
M25,Aegir_M25_B69,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAON01,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__WAON01;s__
M25,Aegir_M25_B7,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,EX4484-58,0,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__EX4484-58;s__
M25,Aegir_M25_B70,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA6168;s__
M25,Aegir_M25_B71,0,Bacteria,Spirochaetota,Leptospiria,Leptospirales,Leptonemataceae,SKYB61,0,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptonemataceae;g__SKYB61;s__
M25,Aegir_M25_B72,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,SZUA-1452,0,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__JAADDC01;f__JAADDC01;g__SZUA-1452;s__
M25,Aegir_M25_B73,3,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfothermaceae,Desulfothermus,0,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfothermaceae;g__Desulfothermus;s__
M25,Aegir_M25_B74,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__
M25,Aegir_M25_B75,0,Bacteria,Myxococcota,SURF-8,0,0,0,0,d__Bacteria;p__Myxococcota;c__SURF-8;o__;f__;g__;s__
M25,Aegir_M25_B76,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,JAADEQ01,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__JAADEQ01;s__
M25,Aegir_M25_B77,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,CAIJNA01,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__CAIJNA01;s__
M25,Aegir_M25_B78,6,Bacteria,Acidobacteriota,Polarisedimenticolia,J045,J045,JAMOQA01,0,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__J045;f__J045;g__JAMOQA01;s__
M25,Aegir_M25_B79,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1556;g__;s__
M25,Aegir_M25_B8,2,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Thermodesulforhabdaceae,JALXAE01,0,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Thermodesulforhabdaceae;g__JALXAE01;s__
M25,Aegir_M25_B80,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__
M25,Aegir_M25_B81,4,Bacteria,WOR-3,Hydrothermia,LBFQ01,LBFQ01,JAADCS01,0,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__JAADCS01;s__
M25,Aegir_M25_B82,1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,0,0,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__
M25,Aegir_M25_B83,4,Bacteria,Myxococcota,UBA9042,PHBI01,JAAZYN01,0,0,d__Bacteria;p__Myxococcota;c__UBA9042;o__PHBI01;f__JAAZYN01;g__;s__
M25,Aegir_M25_B84,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Thermopetrobacter,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Thermopetrobacter;s__
M25,Aegir_M25_B85,1,Bacteria,WOR-3,Hydrothermia,JBDRYB01,JBDRYB01,0,0,d__Bacteria;p__WOR-3;c__Hydrothermia;o__JBDRYB01;f__JBDRYB01;g__;s__
M25,Aegir_M25_B86,0,Archaea,Nanobdellota,Nanobdellia,Woesearchaeales,J091,J091,0,d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__J091;g__J091;s__
M25,Aegir_M25_B87,8,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JALVDI01,0,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__JALVDI01;s__
M25,Aegir_M25_B88,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,0,0,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__;g__;s__
M25,Aegir_M25_B89,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,WAKO01,0,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__J096;g__WAKO01;s__
