Metagenome,MAG,BGC,class,Predicted product,Length (kb),Number of genes,Domain,Phylum,Class,Order,Family,Genus,Species
M25,Aegir_M25_B172,CCGMBFFG_587.region001,RiPP,RRE-containing,4.03,5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,0
M25,Aegir_M25_B174,JJBMJCOG_3.region001,Terpene,Terpene generic,2.72,2,Bacteria,Myxococcota,SURF-8,0,0,0,0
M25,Aegir_M25_B174,JJBMJCOG_70.region001,RiPP,RRE-containing,4.77,2,Bacteria,Myxococcota,SURF-8,0,0,0,0
M25,Aegir_M25_B178,CKBFPJAI_1.region001,RiPP,RiPP-like,11.09,9,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WAQK01,JALWQH01,0
M25,Aegir_M25_B178,CKBFPJAI_8.region001,RiPP,RRE-containing,20.3,24,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WAQK01,JALWQH01,0
M25,Aegir_M25_B18,HGPHKBJF_38.region001,RiPP,RiPP-like,7.43,7,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,EX4484-204,0
M25,Aegir_M25_B184,ECIDCPJL_15.region001,RiPP,RRE-containing,20.27,19,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Fervidicoccaceae,0,0
M25,Aegir_M25_B187,JGCCPAEM_7.region001,RiPP,RiPP-like,10.88,10,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,0
M25,Aegir_M25_B187,JGCCPAEM_109.region001,RiPP,RRE-containing,11.04,11,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,0
M25,Aegir_M25_B187,JGCCPAEM_70.region001,RiPP,RRE-containing,11.92,10,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,0
M25,Aegir_M25_B187,JGCCPAEM_77.region001,RiPP,RRE-containing,20.37,12,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,0
M25,Aegir_M25_B188,DCCNGCIG_108.region001,NRP,NRP generic,11.98,6,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B188,DCCNGCIG_19.region001,NRP,NRP generic,29.11,14,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B188,DCCNGCIG_25.region001,Hybrid,NRPS:T1PKS,28.92,15,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B188,DCCNGCIG_264.region001,NRP,NRP generic,11.49,3,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B188,DCCNGCIG_272.region001,Polyketide,T3PKS,30.46,19,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B188,DCCNGCIG_256.region001,NRP,NRP generic,15.01,7,Bacteria,Zhuqueibacterota,Zhuqueibacteria,Oleimicrobiales,Geothermoviventaceae,Geothermovivens,0
M25,Aegir_M25_B189,LIIILLNF_352.region001,RiPP,RiPP-like,6.99,7,Bacteria,Cyanobacteriota,Sericytochromatia,UBA7694,UBA7694,CAXRDE01,0
M25,Aegir_M25_B189,LIIILLNF_411.region001,Polyketide,T3PKS,4.05,4,Bacteria,Cyanobacteriota,Sericytochromatia,UBA7694,UBA7694,CAXRDE01,0
M25,Aegir_M25_B190,PPGIJDNA_82.region001,RiPP,RiPP-like,10.38,15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,0
M25,Aegir_M25_B190,PPGIJDNA_67.region001,Other,hserlactone,20.59,18,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,0
M25,Aegir_M25_B190,PPGIJDNA_144.region001,Terpene,Terpene generic,11.18,14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,0
M25,Aegir_M25_B191,DOFINDKD_97.region001,Other,arylpolyene,14.11,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0
M25,Aegir_M25_B191,DOFINDKD_55.region001,RiPP,redox-cofactor,8.58,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0
M25,Aegir_M25_B191,DOFINDKD_24.region001,Terpene,Terpene generic,19.97,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0
M25,Aegir_M25_B191,DOFINDKD_26.region001,Other,hserlactone,9.3,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0
M25,Aegir_M25_B191,DOFINDKD_161.region001,RiPP,RiPP-like,5.82,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0
M25,Aegir_M25_B193,OKNDCDBL_273.region001,Terpene,Terpene generic,3.42,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M25,Aegir_M25_B193,OKNDCDBL_127.region001,RiPP,RiPP-like,10.86,14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M25,Aegir_M25_B193,OKNDCDBL_379.region001,Other,hserlactone,8.88,11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M25,Aegir_M25_B194,EFPMGGGC_145.region001,RiPP,RRE-containing,3.8,5,Bacteria,WOR-3,Hydrothermia,WGAB01,0,0,0
M25,Aegir_M25_B195,EJAAFDIG_104.region001,RiPP,RiPP-like,10.86,11,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,QNYQ01,0
M25,Aegir_M25_B196,DNAEBAJA_236.region001,RiPP,RiPP-like,2.22,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0
M25,Aegir_M25_B197,LAIPNIDF_293.region001,Other,arylpolyene,2.23,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,S145-25,0
M25,Aegir_M25_B198,AFNHJEFG_24.region001,RiPP,RiPP-like,10.83,11,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JAADDV01,0
M25,Aegir_M25_B198,AFNHJEFG_35.region001,Hybrid,NRPS-like:RRE-containing,31.1,29,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JAADDV01,0
M25,Aegir_M25_B199,BNINIGFF_141.region001,Other,betalactone,21.05,14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Sulfidibacterium,0
M25,Aegir_M25_B199,BNINIGFF_83.region001,RiPP,RRE-containing,20.28,18,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Sulfidibacterium,0
M25,Aegir_M25_B200,AAFKEBIM_2.region001,Hybrid,lassopeptide:RRE-containing,14.64,8,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,WGAL01,0
M25,Aegir_M25_B200,AAFKEBIM_35.region001,RiPP,RRE-containing,15.57,10,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,WGAL01,0
M25,Aegir_M25_B200,AAFKEBIM_50.region001,Terpene,Terpene generic,21.67,20,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,WGAL01,0
M25,Aegir_M25_B205,OJDELFPK_259.region001,RiPP,RiPP-like,2.04,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M25,Aegir_M25_B205,OJDELFPK_120.region001,Terpene,Terpene generic,8.55,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M25,Aegir_M25_B205,OJDELFPK_184.region001,RiPP,RiPP-like,7.23,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M25,Aegir_M25_B205,OJDELFPK_32.region001,RiPP,ranthipeptide,4.41,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M25,Aegir_M25_B209,HOJMOMBC_312.region001,NRP,NRPS-like,23.22,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,0
M25,Aegir_M25_B209,HOJMOMBC_58.region001,RiPP,RiPP-like,6.56,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,0
M25,Aegir_M25_B209,HOJMOMBC_3.region001,RiPP,RRE-containing,2.16,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,0
M25,Aegir_M25_B21,MCNDNIFN_143.region001,RiPP,RRE-containing,13.88,13,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,0
M25,Aegir_M25_B21,MCNDNIFN_87.region001,RiPP,RRE-containing,3.18,4,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,0
M25,Aegir_M25_B212,BEDLJFEI_42.region001,RiPP,RiPP-like,6.8,9,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,0
M25,Aegir_M25_B212,BEDLJFEI_51.region001,Other,hserlactone,13.15,11,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,0
M25,Aegir_M25_B213,IPAOHKCN_127.region001,Other,arylpolyene,40.15,38,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,JALSSV01,0
M25,Aegir_M25_B213,IPAOHKCN_108.region001,NRP,NRPS-like,19.08,17,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,JALSSV01,0
M25,Aegir_M25_B213,IPAOHKCN_53.region001,Terpene,Terpene generic,7.07,7,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,JALSSV01,0
M25,Aegir_M25_B213,IPAOHKCN_122.region001,NRP,NRPS-like,9.38,9,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,JALSSV01,0
M25,Aegir_M25_B214,MAFDNHBJ_199.region001,Other,arylpolyene,6.59,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,0
M25,Aegir_M25_B214,MAFDNHBJ_205.region001,RiPP,RiPP-like,3.83,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,0
M25,Aegir_M25_B215,DBLJEKIA_31.region001,Terpene,Terpene generic,10.48,9,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,0
M25,Aegir_M25_B215,DBLJEKIA_114.region001,RiPP,sactipeptide,14.74,12,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,0
M25,Aegir_M25_B215,DBLJEKIA_312.region001,RiPP,RRE-containing,7.64,9,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,0
M25,Aegir_M25_B216,NDPGLPLK_23.region001,RiPP,RRE-containing,20.26,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,0,0
M25,Aegir_M25_B216,NDPGLPLK_30.region001,Other,betalactone,32.55,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,0,0
M25,Aegir_M25_B216,NDPGLPLK_31.region001,RiPP,RRE-containing,20.33,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,0,0
M25,Aegir_M25_B216,NDPGLPLK_10.region001,Terpene,Terpene generic,23,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,0,0
M25,Aegir_M25_B216,NDPGLPLK_29.region001,RiPP,redox-cofactor,22.09,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,0,0
M25,Aegir_M25_B218,OFOBCBEG_11.region001,RiPP,RiPP-like,11.07,13,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,JBEVCE01,0
M25,Aegir_M25_B221,HDNFIEHE_2.region001,RiPP,RiPP-like,8.1,6,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,0,0
M25,Aegir_M25_B221,HDNFIEHE_42.region001,RiPP,RiPP-like,11.72,10,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,0,0
M25,Aegir_M25_B222,IJDCOELN_61.region001,RiPP,RRE-containing,3.64,5,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,0
M25,Aegir_M25_B222,IJDCOELN_81.region001,RiPP,RiPP-like,8.47,11,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,0
M25,Aegir_M25_B224,GOPPLFKP_39.region001,RiPP,RiPP-like,11.75,8,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,0
M25,Aegir_M25_B224,GOPPLFKP_69.region001,RiPP,RiPP-like,11.76,9,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,0
M25,Aegir_M25_B224,GOPPLFKP_72.region001,Other,acyl_amino_acids,4.63,2,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,0
M25,Aegir_M25_B225,IPPMKPGL_94.region001,Other,betalactone,20.34,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0
M25,Aegir_M25_B225,IPPMKPGL_19.region001,RiPP,redox-cofactor,8.88,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0
M25,Aegir_M25_B225,IPPMKPGL_60.region001,Terpene,Terpene generic,7.29,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0
M25,Aegir_M25_B225,IPPMKPGL_80.region001,Terpene,Terpene generic,12.26,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0
M25,Aegir_M25_B225,IPPMKPGL_24.region001,RiPP,RiPP-like,10.34,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,0,0
M25,Aegir_M25_B226,CMOMDCKF_28.region001,Terpene,Terpene generic,19.78,15,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,JALUVI01,0
M25,Aegir_M25_B228,MMMPPMMI_72.region001,RiPP,RiPP-like,2.1,3,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Calypsonella,0
M25,Aegir_M25_B229,NDFDGGDH_119.region001,RiPP,RiPP-like,10.43,9,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B229,NDFDGGDH_7.region001,Hybrid,NRPS:T1PKS,103.45,36,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B229,NDFDGGDH_61.region001,Terpene,Terpene generic,16.74,10,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B230,KCIFPCKP_76.region001,Other,hydrogen-cyanide,10.09,9,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,0,0
M25,Aegir_M25_B231,GCMBIIMM_62.region001,RiPP,RiPP-like,11.79,10,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,0
M25,Aegir_M25_B231,GCMBIIMM_7.region001,Other,acyl_amino_acids,33.76,33,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,0
M25,Aegir_M25_B231,GCMBIIMM_9.region001,RiPP,RiPP-like,7.04,7,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,0
M25,Aegir_M25_B232,BDOMIJBA_148.region001,RiPP,RRE-containing,7.51,8,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B232,BDOMIJBA_152.region001,RiPP,RiPP-like,10.87,9,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B232,BDOMIJBA_171.region001,Terpene,Terpene generic,16.38,14,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0
M25,Aegir_M25_B237,KDPMIDBH_120.region001,Other,hydrogen-cyanide,6.2,8,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M25,Aegir_M25_B237,KDPMIDBH_245.region001,RiPP,RiPP-like,7.88,8,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M25,Aegir_M25_B238,LGMPKPMI_11.region001,RiPP,RiPP-like,10.85,11,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,0
M25,Aegir_M25_B238,LGMPKPMI_3.region001,RiPP,RiPP-like,10.95,12,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,0
M25,Aegir_M25_B239,IEDIOMHP_114.region001,NRP,NRPS-like,27.72,21,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_43.region001,Polyketide,T3PKS,31.18,28,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_46.region001,Polyketide,T1PKS,23.04,14,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_55.region001,Polyketide,T1PKS,46.4,29,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_5.region001,Polyketide,T1PKS,50.99,36,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_8.region001,Polyketide,hglE-KS,30.29,14,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B239,IEDIOMHP_9.region001,Other,betalactone,33.08,24,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,0
M25,Aegir_M25_B24,NNPGLMIM_126.region001,RiPP,RiPP-like,6.63,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_112.region001,Terpene,Terpene generic,5.32,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_123.region001,Terpene,Terpene generic,11.15,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_36.region001,Other,hydrogen-cyanide,12.8,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_23.region001,NRP,NRP generic,43.82,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_56.region001,RiPP,RiPP-like,10.85,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_169.region001,RiPP,RiPP-like,11.61,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_96.region001,Other,arylpolyene,14.72,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B24,NNPGLMIM_30.region001,RiPP,redox-cofactor,18.73,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0
M25,Aegir_M25_B241,IDKIGBJD_193.region001,Hybrid,arylpolyene:resorcinol,14.37,16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,0
M25,Aegir_M25_B241,IDKIGBJD_98.region001,RiPP,RRE-containing,16.08,15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,0
M25,Aegir_M25_B241,IDKIGBJD_169.region001,Other,arylpolyene,2.66,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,0
M25,Aegir_M25_B242,MNNKNLIN_111.region001,RiPP,RRE-containing,20.24,15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0
M25,Aegir_M25_B245,MJIPPEME_8.region001,NRP,NRPS-like,29.85,29,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JALSSE01,0
M25,Aegir_M25_B245,MJIPPEME_47.region001,RiPP,RiPP-like,10.66,14,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JALSSE01,0
M25,Aegir_M25_B245,MJIPPEME_19.region001,RiPP,RiPP-like,10.84,11,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,JALSSE01,0
M25,Aegir_M25_B247,HDGJHJCB_152.region001,Other,arylpolyene,17.61,20,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_184.region001,Other,arylpolyene,9.06,8,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_186.region001,RiPP,RiPP-like,11.72,7,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_187.region001,RiPP,RiPP-like,7.68,5,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_198.region001,Polyketide,T1PKS,2.62,1,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_27.region001,Other,arylpolyene,5.83,5,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_53.region001,Terpene,Terpene generic,7.75,7,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B247,HDGJHJCB_87.region001,Other,arylpolyene,4.05,6,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,0,0
M25,Aegir_M25_B249,APPKEMID_55.region001,Terpene,Terpene generic,20.84,23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,UBA4466 sp013373595
M25,Aegir_M25_B25,DLIGJPKI_19.region001,RiPP,RRE-containing,20.28,23,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,JACXUG01,0
M25,Aegir_M25_B25,DLIGJPKI_32.region001,RiPP,lassopeptide,20.18,19,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,JACXUG01,0
M25,Aegir_M25_B251,MJNBCPKI_63.region001,RiPP,RiPP-like,4.46,4,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,0
M25,Aegir_M25_B252,KLFLDMCD_174.region001,Hybrid,lassopeptide:RRE-containing,11.64,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,0
M25,Aegir_M25_B252,KLFLDMCD_176.region001,RiPP,RiPP-like,6.87,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,0
M25,Aegir_M25_B252,KLFLDMCD_203.region001,Other,betalactone,2.83,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,0
M25,Aegir_M25_B254,DFDIHNMG_349.region001,Polyketide,hglE-KS,5.75,3,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,0
M25,Aegir_M25_B254,DFDIHNMG_372.region001,Hybrid,lassopeptide:RRE-containing,11.01,10,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,0
M25,Aegir_M25_B254,DFDIHNMG_541.region001,RiPP,RRE-containing,9.02,7,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,0
M25,Aegir_M25_B255,GLPOFOGI_13.region001,Polyketide,T1PKS,49.61,29,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_25.region001,RiPP,RiPP-like,10.87,12,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_41.region001,Polyketide,hglE-KS,54.1,41,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_69.region001,Polyketide,T3PKS,36.38,30,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_83.region001,RiPP,RiPP-like,11.19,14,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_65.region001,Polyketide,T3PKS,18.11,14,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_105.region001,Other,betalactone,32.99,32,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B255,GLPOFOGI_25.region002,NRP,NRPS-like,35.95,28,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,0
M25,Aegir_M25_B26,MENBPKOE_56.region001,RiPP,RiPP-like,9.2,11,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,UBA11858,0
M25,Aegir_M25_B26,MENBPKOE_68.region001,RiPP,RRE-containing,17.02,13,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,UBA11858,0
