genome_ID,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M25_B19,0,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M25_B190,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
Aegir_M25_B191,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
Aegir_M25_B192,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M25_B193,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
Aegir_M25_B194,1,Bacteria,WOR-3,Hydrothermia,WGAB01,,,
Aegir_M25_B195,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,QNYQ01,
Aegir_M25_B196,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
Aegir_M25_B197,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,S145-25,
Aegir_M25_B198,2,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,,
Aegir_M25_B199,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Sulfidibacterium,
Aegir_M25_B2,0,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAGGZO01,
Aegir_M25_B20,0,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,WFXV01,
Aegir_M25_B200,3,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,WGAL01,
Aegir_M25_B201,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M25_B202,0,Bacteria,Patescibacteria,Dojkabacteria,GCA-002793355,GCA-002793355,,
Aegir_M25_B203,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALSQL01,
Aegir_M25_B204,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALWTO01,
Aegir_M25_B205,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B206,0,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,S146-30,
Aegir_M25_B207,0,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,
Aegir_M25_B208,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,JAADDC01,
Aegir_M25_B209,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
Aegir_M25_B21,2,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M25_B210,0,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,,
Aegir_M25_B211,0,Archaea,Thermoproteota,JANJXX01,JAMOTR01,JAMOTR01,JAMOTR01,
Aegir_M25_B212,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M25_B213,4,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALSSV01,
Aegir_M25_B214,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,
Aegir_M25_B215,3,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
Aegir_M25_B216,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,,
Aegir_M25_B217,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Aegir_M25_B218,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B219,0,Bacteria,Patescibacteria,Dojkabacteria,B142,JAFGMG01,,
Aegir_M25_B22,0,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium_B,
Aegir_M25_B220,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,JAADED01,JALSPZ01,
Aegir_M25_B221,2,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
Aegir_M25_B222,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,
Aegir_M25_B223,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,B5-G16,
Aegir_M25_B224,3,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,
Aegir_M25_B225,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B226,1,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,JALUVI01,
Aegir_M25_B227,0,Bacteria,Patescibacteria,Paceibacteria,Moranbacterales,GCA-2747515,JALVQA01,
Aegir_M25_B228,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALSQL01,
Aegir_M25_B229,3,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,
Aegir_M25_B23,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DRMV01,
Aegir_M25_B230,1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B231,3,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,
Aegir_M25_B232,3,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,
Aegir_M25_B233,0,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,WALU01,WALU01 sp027491395
Aegir_M25_B234,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,JALSKU01,JALSKU01,
Aegir_M25_B235,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,
Aegir_M25_B236,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,
Aegir_M25_B237,2,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M25_B238,2,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,
Aegir_M25_B239,7,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,
Aegir_M25_B24,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M25_B240,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,WAKO01,
Aegir_M25_B241,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M25_B242,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M25_B243,0,Archaea,Micrarchaeota,Micrarchaeia,CAILAH01,CAILAH01,,
Aegir_M25_B244,0,Bacteria,DYJV01,DYJV01,DYJV01,DYJV01,,
Aegir_M25_B245,3,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,JALSSE01,
Aegir_M25_B246,0,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermocladiaceae,,
Aegir_M25_B247,8,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,,
Aegir_M25_B248,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M25_B249,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,UBA4466 sp013373595
Aegir_M25_B25,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,JACXUG01,
Aegir_M25_B250,0,Archaea,Thermoproteota,JANJXX01,JAMOTR01,JAMOTR01,JAMOTR01,
Aegir_M25_B251,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,
Aegir_M25_B252,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,
Aegir_M25_B253,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Villigracilaceae,S143-42,
Aegir_M25_B254,3,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,
Aegir_M25_B255,8,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,
Aegir_M25_B26,2,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,UBA11858,
Aegir_M25_B27,1,Bacteria,JALSQH01,JALSQH01,JALSQH01,JALSQH01,JALSQH01,
Aegir_M25_B28,0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,,
Aegir_M25_B29,1,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptonemataceae,JAGRNA01,
Aegir_M25_B3,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M25_B30,0,Bacteria,Chloroflexota,Anaerolineae,B4-G1,DUEL01,SZUA-1492,
Aegir_M25_B31,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M25_B32,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,
Aegir_M25_B33,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,JALVHX01,
Aegir_M25_B34,3,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,S016-13,
Aegir_M25_B35,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylohalobius,
Aegir_M25_B36,1,Bacteria,Chloroflexota,Anaerolineae,J102,J102,M2005,
Aegir_M25_B37,1,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Ch27,JALSTC01,JALSTC01 sp026983935
Aegir_M25_B38,6,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JAGGTJ01,JAGGTJ01,
Aegir_M25_B39,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M25_B4,1,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,,
Aegir_M25_B40,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M25_B41,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M25_B42,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,
Aegir_M25_B43,0,Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,Aciduliprofundaceae,S014-50,
Aegir_M25_B44,0,Archaea,Thermoproteota,JANJXX01,Panguiarchaeales,Panguiarchaeaceae,,
Aegir_M25_B45,0,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptonemataceae,JAGRNA01,
Aegir_M25_B46,3,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,
Aegir_M25_B47,1,Bacteria,Planctomycetota,SZUA-567,SZUA-567,SZUA-567,,
Aegir_M25_B48,1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,S143-33,
Aegir_M25_B49,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JADJGA01,
Aegir_M25_B5,2,Bacteria,J088,J088,J088,J088,J088,
Aegir_M25_B50,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,MONJU,
Aegir_M25_B51,1,Bacteria,WOR-3,Hydrothermia,WGAB01,WGAB01,WGAB01,
Aegir_M25_B52,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,
Aegir_M25_B53,0,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,Oceanithermus,Oceanithermus sp026981865
Aegir_M25_B54,4,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,
Aegir_M25_B55,3,Bacteria,Pseudomonadota,Gammaproteobacteria,S144-34,S144-34,S144-34,S144-34 sp026989495
Aegir_M25_B56,7,Bacteria,Calditrichota,Calditrichia,RBG-13-44-9,J042,WGBF01,
Aegir_M25_B57,1,Bacteria,Aquificota,Aquificae,Aquificales,QOAS01,QOAS01,
Aegir_M25_B58,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M25_B59,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M25_B6,2,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,
Aegir_M25_B60,0,Bacteria,WOR-3,Hydrothermia,B15-G9,B15-G9,B15-G9,
Aegir_M25_B61,0,Bacteria,Patescibacteria,Dojkabacteria,GCA-002793355,GCA-002793355,,
Aegir_M25_B62,1,Bacteria,JALSQH01,JALSQH01,JALSQH01,JALSQH01,JALSQH01,
Aegir_M25_B63,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,Pyrolobus,
Aegir_M25_B64,2,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,
Aegir_M25_B65,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
Aegir_M25_B66,1,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter,
Aegir_M25_B67,1,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,JALXEW01,JALXEW01,
Aegir_M25_B68,0,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-100275,DSM-100275,Inmirania,
Aegir_M25_B69,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAON01,
Aegir_M25_B7,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,EX4484-58,
Aegir_M25_B70,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168,
Aegir_M25_B71,0,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptonemataceae,SKYB61,
Aegir_M25_B72,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,SZUA-1452,
Aegir_M25_B73,3,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,
Aegir_M25_B74,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M25_B75,0,Bacteria,Myxococcota,SURF-8,SURF-8,,,
Aegir_M25_B76,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,JAADEQ01,
Aegir_M25_B77,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,CAIJNA01,
Aegir_M25_B78,6,Bacteria,Acidobacteriota,Polarisedimenticolia,J045,J045,JAMOQA01,
Aegir_M25_B79,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,,
Aegir_M25_B8,2,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Thermodesulforhabdaceae,JALXAE01,
Aegir_M25_B80,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M25_B81,4,Bacteria,WOR-3,Hydrothermia,LBFQ01,LBFQ01,JAADCS01,
Aegir_M25_B82,1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,
Aegir_M25_B83,4,Bacteria,Myxococcota,UBA9042,PHBI01,JAAZYN01,,
Aegir_M25_B84,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Thermopetrobacter,
Aegir_M25_B85,1,Bacteria,WOR-3,Hydrothermia,,,,
Aegir_M25_B86,0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,J091,J091,
Aegir_M25_B87,8,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JALVDI01,
Aegir_M25_B88,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M25_B89,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,WAKO01,
Aegir_M25_B9,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,
Aegir_M25_B90,2,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Aquifex,
Aegir_M25_B91,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Poriferihabitantaceae,,
Aegir_M25_B92,0,Bacteria,Patescibacteria,Microgenomatia,UBA1400,PJMF01,WFTH01,
Aegir_M25_B93,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,JALSRW01,
Aegir_M25_B94,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
Aegir_M25_B95,3,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,JACNJF01,
Aegir_M25_B96,1,Bacteria,J088,J088,J088,,,
Aegir_M25_B97,0,Bacteria,Chloroflexota,Anaerolineae,JAADDB01,JAADDB01,JAADDB01,
Aegir_M25_B98,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
Aegir_M25_B99,1,Bacteria,Chloroflexota,Anaerolineae,B4-G1,B4-G1,JALWUZ01,
Aegir_M26_B10,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
Aegir_M26_B11,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
Aegir_M26_B12,2,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,
Aegir_M26_B13,1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JALTDM01,JALTDM01,
Aegir_M26_B14,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Sulfurivirga,
Aegir_M26_B15,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M26_B16,0,Archaea,Nanoarchaeota,Nanoarchaeia,,,,
Aegir_M26_B17,1,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,,
Aegir_M26_B18,2,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M26_B19,2,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,,
Aegir_M26_B2,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M26_B20,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Ignicoccaceae,Ignicoccus,
Aegir_M26_B21,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,Sulfurimonas sp030949945
Aegir_M26_B22,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiosulfativibrio,
Aegir_M26_B23,0,Archaea,Nanoarchaeota,Nanoarchaeia,,,,
Aegir_M26_B24,0,Bacteria,DYJV01,DYJV01,DYJV01,JALVYZ01,JALVYZ01,
Aegir_M26_B25,1,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M26_B26,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp913056305
Aegir_M26_B27,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M26_B28,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,JAADED01,JALSPZ01,
Aegir_M26_B29,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GLR69,
Aegir_M26_B3,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum_A,
Aegir_M26_B30,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,SZUA-1452,
Aegir_M26_B31,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,QNYQ01,
Aegir_M26_B32,2,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,
Aegir_M26_B33,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,GCA-2401725,
Aegir_M26_B34,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M26_B35,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Ignicoccaceae,Ignicoccus,
Aegir_M26_B36,0,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,JAADFF01,JAADFF01,
Aegir_M26_B37,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,
Aegir_M26_B38,0,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M26_B39,0,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium_B,
Aegir_M26_B4,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,
Aegir_M26_B40,1,Bacteria,Aquificota,Aquificae,Aquificales,QOAS01,QOAS01,
Aegir_M26_B41,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M26_B42,1,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,
Aegir_M26_B43,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M26_B44,0,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M26_B45,0,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,WFXV01,
Aegir_M26_B46,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,QNYQ01,
Aegir_M26_B47,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
Aegir_M26_B5,1,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,QNZC01,
Aegir_M26_B6,1,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,JAADDX01,,
Aegir_M26_B7,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,UBA852,
Aegir_M26_B8,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M26_B9,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,S143-33,
Aegir_M36_B1,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,
Aegir_M36_B10,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Salinivirgaceae,,
Aegir_M36_B11,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,JAHDFW01,,
Aegir_M36_B12,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M36_B13,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,
Aegir_M36_B14,0,Bacteria,Patescibacteria,Gracilibacteria,UBA4473,UBA4473,M50B91,
Aegir_M36_B15,3,Bacteria,Myxococcota,Polyangia,HGW-17,HGW-17,,
Aegir_M36_B16,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M36_B17,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M36_B19,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M36_B2,8,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,
Aegir_M36_B20,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M36_B21,2,Bacteria,Chloroflexota,Anaerolineae,Promineofilales,Promineofilaceae,JAJRTP01,
Aegir_M36_B22,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M36_B23,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M36_B24,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
Aegir_M36_B25,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M36_B26,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,
Aegir_M36_B27,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1006,UBA1006,
Aegir_M36_B28,6,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JAADHO01,
Aegir_M36_B29,0,Bacteria,Patescibacteria,Gracilibacteria,CAIRYL01,CAIRYL01,SZUA-1403,
Aegir_M36_B3,5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,4572-112,
Aegir_M36_B30,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
Aegir_M36_B31,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1006,UBA1006,
Aegir_M36_B32,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M36_B33,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M36_B34,8,Bacteria,Myxococcota,UBA796,UBA796,CAJQPC01,CAJQPC01,
Aegir_M36_B35,5,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,JANTFQ01,
Aegir_M36_B36,1,Bacteria,Chloroflexota,Anaerolineae,B4-G1,DUEL01,SZUA-1492,
Aegir_M36_B37,1,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,JAFGMM01,,
Aegir_M36_B38,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiosulfativibrio,
Aegir_M36_B39,1,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,,,
Aegir_M36_B4,2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,
