source,target,source_metagenome,target_metagenome
BGC0001373,BGC0001373,MIBiG,MIBiG
BGC0001374,BGC0001374,MIBiG,MIBiG
BGC0001375,BGC0001375,MIBiG,MIBiG
BGC0001376,BGC0001376,MIBiG,MIBiG
BGC0001377,BGC0001377,MIBiG,MIBiG
BGC0001378,BGC0001378,MIBiG,MIBiG
BGC0001379,BGC0001379,MIBiG,MIBiG
BGC0001380,BGC0001380,MIBiG,MIBiG
BGC0001381,BGC0001381,MIBiG,MIBiG
BGC0001383,BGC0001383,MIBiG,MIBiG
BGC0001384,BGC0001384,MIBiG,MIBiG
BGC0001386,BGC0001386,MIBiG,MIBiG
BGC0001387,BGC0001387,MIBiG,MIBiG
BGC0001388,BGC0001388,MIBiG,MIBiG
BGC0001389,BGC0001389,MIBiG,MIBiG
BGC0001390,BGC0001390,MIBiG,MIBiG
BGC0001391,BGC0001391,MIBiG,MIBiG
BGC0001392,BGC0001392,MIBiG,MIBiG
BGC0001393,BGC0001393,MIBiG,MIBiG
BGC0001394,BGC0001394,MIBiG,MIBiG
BGC0001395,BGC0001395,MIBiG,MIBiG
BGC0001396,BGC0001396,MIBiG,MIBiG
BGC0001397,BGC0001397,MIBiG,MIBiG
BGC0001398,BGC0001398,MIBiG,MIBiG
BGC0001399,BGC0001399,MIBiG,MIBiG
BGC0001400,BGC0001400,MIBiG,MIBiG
BGC0001402,BGC0001402,MIBiG,MIBiG
BGC0001403,BGC0001403,MIBiG,MIBiG
BGC0001404,BGC0001404,MIBiG,MIBiG
BGC0001405,BGC0001405,MIBiG,MIBiG
BGC0001406,BGC0001406,MIBiG,MIBiG
BGC0001407,BGC0001407,MIBiG,MIBiG
BGC0001408,BGC0001408,MIBiG,MIBiG
BGC0001409,BGC0001409,MIBiG,MIBiG
BGC0001410,BGC0001410,MIBiG,MIBiG
BGC0001411,BGC0001411,MIBiG,MIBiG
BGC0001412,BGC0001412,MIBiG,MIBiG
BGC0001413,BGC0001413,MIBiG,MIBiG
BGC0001414,BGC0001414,MIBiG,MIBiG
BGC0001415,BGC0001415,MIBiG,MIBiG
BGC0001416,BGC0001416,MIBiG,MIBiG
BGC0001417,BGC0001417,MIBiG,MIBiG
BGC0001418,BGC0001418,MIBiG,MIBiG
BGC0001419,BGC0001419,MIBiG,MIBiG
BGC0001420,BGC0001420,MIBiG,MIBiG
BGC0001421,BGC0001421,MIBiG,MIBiG
BGC0001422,BGC0001422,MIBiG,MIBiG
BGC0001423,BGC0001423,MIBiG,MIBiG
BGC0001424,BGC0001424,MIBiG,MIBiG
BGC0001425,BGC0001425,MIBiG,MIBiG
BGC0001426,BGC0001426,MIBiG,MIBiG
BGC0001427,BGC0001427,MIBiG,MIBiG
BGC0001428,BGC0001428,MIBiG,MIBiG
BGC0001429,BGC0001429,MIBiG,MIBiG
BGC0001430,BGC0001430,MIBiG,MIBiG
BGC0001431,BGC0001431,MIBiG,MIBiG
BGC0001432,BGC0001432,MIBiG,MIBiG
BGC0001433,BGC0001433,MIBiG,MIBiG
BGC0001434,BGC0001434,MIBiG,MIBiG
BGC0001435,BGC0001435,MIBiG,MIBiG
BGC0001436,BGC0001436,MIBiG,MIBiG
BGC0001437,BGC0001437,MIBiG,MIBiG
BGC0001438,BGC0001438,MIBiG,MIBiG
BGC0001439,BGC0001439,MIBiG,MIBiG
BGC0001440,BGC0001440,MIBiG,MIBiG
BGC0001441,BGC0001441,MIBiG,MIBiG
BGC0001442,BGC0001442,MIBiG,MIBiG
BGC0001443,BGC0001443,MIBiG,MIBiG
BGC0001444,BGC0001444,MIBiG,MIBiG
BGC0001445,BGC0001445,MIBiG,MIBiG
BGC0001446,BGC0001446,MIBiG,MIBiG
BGC0001447,BGC0001447,MIBiG,MIBiG
BGC0001448,BGC0001448,MIBiG,MIBiG
BGC0001449,BGC0001449,MIBiG,MIBiG
BGC0001451,BGC0001451,MIBiG,MIBiG
BGC0001452,BGC0001452,MIBiG,MIBiG
BGC0001453,BGC0001453,MIBiG,MIBiG
BGC0001454,BGC0001454,MIBiG,MIBiG
BGC0001455,BGC0001455,MIBiG,MIBiG
BGC0001456,BGC0001456,MIBiG,MIBiG
BGC0001457,BGC0001457,MIBiG,MIBiG
BGC0001458,BGC0001458,MIBiG,MIBiG
BGC0001459,BGC0001459,MIBiG,MIBiG
BGC0001460,BGC0001460,MIBiG,MIBiG
BGC0001461,BGC0001461,MIBiG,MIBiG
BGC0001462,BGC0001462,MIBiG,MIBiG
BGC0001463,BGC0001463,MIBiG,MIBiG
BGC0001464,BGC0001464,MIBiG,MIBiG
BGC0001465,BGC0001465,MIBiG,MIBiG
BGC0001467,BGC0001467,MIBiG,MIBiG
BGC0001468,BGC0001468,MIBiG,MIBiG
BGC0001469,BGC0001469,MIBiG,MIBiG
BGC0001470,BGC0001470,MIBiG,MIBiG
BGC0001471,BGC0001471,MIBiG,MIBiG
BGC0001472,BGC0001472,MIBiG,MIBiG
BGC0001473,BGC0001473,MIBiG,MIBiG
BGC0001474,BGC0001474,MIBiG,MIBiG
BGC0001475,BGC0001475,MIBiG,MIBiG
BGC0001476,BGC0001476,MIBiG,MIBiG
BGC0001477,BGC0001477,MIBiG,MIBiG
BGC0001478,BGC0001478,MIBiG,MIBiG
BGC0001479,BGC0001479,MIBiG,MIBiG
BGC0001480,BGC0001480,MIBiG,MIBiG
BGC0001481,BGC0001481,MIBiG,MIBiG
BGC0001483,BGC0001483,MIBiG,MIBiG
BGC0001484,BGC0001484,MIBiG,MIBiG
BGC0001485,BGC0001485,MIBiG,MIBiG
BGC0001486,BGC0001486,MIBiG,MIBiG
BGC0001487,BGC0001487,MIBiG,MIBiG
BGC0001488,BGC0001488,MIBiG,MIBiG
BGC0001489,BGC0001489,MIBiG,MIBiG
BGC0001490,BGC0001490,MIBiG,MIBiG
BGC0001491,BGC0001491,MIBiG,MIBiG
BGC0001492,BGC0001492,MIBiG,MIBiG
BGC0001493,BGC0001493,MIBiG,MIBiG
BGC0001494,BGC0001494,MIBiG,MIBiG
BGC0001495,BGC0001495,MIBiG,MIBiG
BGC0001496,BGC0001496,MIBiG,MIBiG
BGC0001498,BGC0001498,MIBiG,MIBiG
BGC0001499,BGC0001499,MIBiG,MIBiG
BGC0001500,BGC0001500,MIBiG,MIBiG
BGC0001501,BGC0001501,MIBiG,MIBiG
BGC0001502,BGC0001502,MIBiG,MIBiG
BGC0001503,BGC0001503,MIBiG,MIBiG
BGC0001504,BGC0001504,MIBiG,MIBiG
BGC0001505,BGC0001505,MIBiG,MIBiG
BGC0001506,BGC0001506,MIBiG,MIBiG
BGC0001507,BGC0001507,MIBiG,MIBiG
BGC0001508,BGC0001508,MIBiG,MIBiG
BGC0001509,BGC0002092,MIBiG,MIBiG
BGC0001509,BGC0001980,MIBiG,MIBiG
BGC0001510,BGC0001510,MIBiG,MIBiG
BGC0001511,BGC0001511,MIBiG,MIBiG
BGC0001512,BGC0001512,MIBiG,MIBiG
BGC0001513,BGC0001513,MIBiG,MIBiG
BGC0001514,BGC0001514,MIBiG,MIBiG
BGC0001515,BGC0001515,MIBiG,MIBiG
BGC0001516,BGC0001516,MIBiG,MIBiG
BGC0001517,BGC0001517,MIBiG,MIBiG
BGC0001518,BGC0001518,MIBiG,MIBiG
BGC0001519,BGC0001519,MIBiG,MIBiG
BGC0001520,BGC0001520,MIBiG,MIBiG
BGC0001521,BGC0001521,MIBiG,MIBiG
BGC0001522,BGC0001522,MIBiG,MIBiG
BGC0001523,BGC0001523,MIBiG,MIBiG
BGC0001524,BGC0001524,MIBiG,MIBiG
BGC0001525,BGC0001525,MIBiG,MIBiG
BGC0001526,BGC0001526,MIBiG,MIBiG
BGC0001527,BGC0001527,MIBiG,MIBiG
BGC0001528,BGC0001528,MIBiG,MIBiG
BGC0001529,BGC0001529,MIBiG,MIBiG
BGC0001531,BGC0001531,MIBiG,MIBiG
BGC0001532,BGC0001532,MIBiG,MIBiG
BGC0001533,BGC0001533,MIBiG,MIBiG
BGC0001534,BGC0001534,MIBiG,MIBiG
BGC0001535,BGC0001535,MIBiG,MIBiG
BGC0001536,BGC0001536,MIBiG,MIBiG
BGC0001537,BGC0001537,MIBiG,MIBiG
BGC0001539,BGC0001539,MIBiG,MIBiG
BGC0001540,BGC0001540,MIBiG,MIBiG
BGC0001541,BGC0001541,MIBiG,MIBiG
BGC0001542,BGC0001542,MIBiG,MIBiG
BGC0001543,BGC0001543,MIBiG,MIBiG
BGC0001544,BGC0001544,MIBiG,MIBiG
BGC0001545,BGC0001545,MIBiG,MIBiG
BGC0001547,BGC0001547,MIBiG,MIBiG
BGC0001548,BGC0001548,MIBiG,MIBiG
BGC0001549,BGC0001549,MIBiG,MIBiG
BGC0001550,BGC0001550,MIBiG,MIBiG
BGC0001551,BGC0001551,MIBiG,MIBiG
BGC0001552,BGC0001552,MIBiG,MIBiG
BGC0001553,BGC0001553,MIBiG,MIBiG
BGC0001554,BGC0001554,MIBiG,MIBiG
BGC0001555,BGC0001555,MIBiG,MIBiG
BGC0001556,BGC0001556,MIBiG,MIBiG
BGC0001558,BGC0001558,MIBiG,MIBiG
BGC0001559,BGC0001559,MIBiG,MIBiG
BGC0001560,BGC0001560,MIBiG,MIBiG
BGC0001561,BGC0001561,MIBiG,MIBiG
BGC0001562,BGC0001562,MIBiG,MIBiG
BGC0001563,BGC0001563,MIBiG,MIBiG
BGC0001564,BGC0001564,MIBiG,MIBiG
BGC0001565,BGC0001565,MIBiG,MIBiG
BGC0001566,BGC0001566,MIBiG,MIBiG
BGC0001567,BGC0001567,MIBiG,MIBiG
BGC0001568,BGC0001568,MIBiG,MIBiG
BGC0001569,BGC0001569,MIBiG,MIBiG
BGC0001570,BGC0001570,MIBiG,MIBiG
BGC0001571,BGC0001571,MIBiG,MIBiG
BGC0001572,BGC0001572,MIBiG,MIBiG
BGC0001573,BGC0001573,MIBiG,MIBiG
BGC0001574,BGC0001574,MIBiG,MIBiG
BGC0001575,BGC0001575,MIBiG,MIBiG
BGC0001576,BGC0001576,MIBiG,MIBiG
BGC0001577,BGC0001577,MIBiG,MIBiG
BGC0001578,BGC0001578,MIBiG,MIBiG
BGC0001579,BGC0001579,MIBiG,MIBiG
BGC0001580,BGC0001580,MIBiG,MIBiG
BGC0001582,BGC0001582,MIBiG,MIBiG
BGC0001583,BGC0001583,MIBiG,MIBiG
BGC0001584,BGC0001584,MIBiG,MIBiG
BGC0001585,BGC0001585,MIBiG,MIBiG
BGC0001586,BGC0001586,MIBiG,MIBiG
BGC0001587,BGC0001587,MIBiG,MIBiG
BGC0001588,BGC0001588,MIBiG,MIBiG
BGC0001589,BGC0001589,MIBiG,MIBiG
BGC0001590,BGC0001590,MIBiG,MIBiG
BGC0001591,BGC0001591,MIBiG,MIBiG
BGC0001592,BGC0001592,MIBiG,MIBiG
BGC0001593,BGC0001593,MIBiG,MIBiG
BGC0001594,BGC0001594,MIBiG,MIBiG
BGC0001595,BGC0001595,MIBiG,MIBiG
BGC0001596,BGC0001596,MIBiG,MIBiG
BGC0001597,BGC0001597,MIBiG,MIBiG
BGC0001598,BGC0001598,MIBiG,MIBiG
BGC0001599,BGC0001599,MIBiG,MIBiG
BGC0001600,BGC0001600,MIBiG,MIBiG
BGC0001601,BGC0001601,MIBiG,MIBiG
BGC0001602,BGC0001602,MIBiG,MIBiG
BGC0001603,BGC0001603,MIBiG,MIBiG
BGC0001604,BGC0001604,MIBiG,MIBiG
BGC0001605,BGC0001605,MIBiG,MIBiG
BGC0001606,BGC0001606,MIBiG,MIBiG
BGC0001607,BGC0001607,MIBiG,MIBiG
BGC0001608,BGC0001608,MIBiG,MIBiG
BGC0001609,BGC0001609,MIBiG,MIBiG
BGC0001610,BGC0001610,MIBiG,MIBiG
BGC0001611,BGC0001611,MIBiG,MIBiG
BGC0001612,BGC0001612,MIBiG,MIBiG
BGC0001614,BGC0001614,MIBiG,MIBiG
BGC0001615,BGC0001615,MIBiG,MIBiG
BGC0001616,BGC0001616,MIBiG,MIBiG
BGC0001617,BGC0001617,MIBiG,MIBiG
BGC0001618,BGC0001618,MIBiG,MIBiG
BGC0001619,BGC0001619,MIBiG,MIBiG
BGC0001620,BGC0001620,MIBiG,MIBiG
BGC0001621,BGC0001621,MIBiG,MIBiG
BGC0001622,BGC0001622,MIBiG,MIBiG
BGC0001623,BGC0001623,MIBiG,MIBiG
BGC0001624,BGC0001624,MIBiG,MIBiG
BGC0001625,BGC0001625,MIBiG,MIBiG
BGC0001626,BGC0001626,MIBiG,MIBiG
BGC0001627,BGC0001627,MIBiG,MIBiG
BGC0001628,BGC0001628,MIBiG,MIBiG
BGC0001629,BGC0001629,MIBiG,MIBiG
BGC0001630,BGC0001630,MIBiG,MIBiG
BGC0001631,BGC0001631,MIBiG,MIBiG
BGC0001632,BGC0001632,MIBiG,MIBiG
BGC0001633,BGC0001633,MIBiG,MIBiG
BGC0001634,BGC0001634,MIBiG,MIBiG
BGC0001635,BGC0001635,MIBiG,MIBiG
BGC0001636,BGC0001636,MIBiG,MIBiG
BGC0001637,BGC0001637,MIBiG,MIBiG
BGC0001638,BGC0001638,MIBiG,MIBiG
BGC0001639,BGC0001639,MIBiG,MIBiG
BGC0001640,BGC0001640,MIBiG,MIBiG
BGC0001641,BGC0001641,MIBiG,MIBiG
BGC0001642,BGC0001642,MIBiG,MIBiG
BGC0001644,BGC0001644,MIBiG,MIBiG
BGC0001645,BGC0001645,MIBiG,MIBiG
BGC0001646,BGC0001646,MIBiG,MIBiG
BGC0001647,BGC0001647,MIBiG,MIBiG
BGC0001648,BGC0001648,MIBiG,MIBiG
BGC0001649,BGC0001649,MIBiG,MIBiG
BGC0001650,BGC0001650,MIBiG,MIBiG
BGC0001651,BGC0001651,MIBiG,MIBiG
BGC0001652,BGC0001652,MIBiG,MIBiG
BGC0001653,BGC0001653,MIBiG,MIBiG
BGC0001654,BGC0001654,MIBiG,MIBiG
BGC0001655,BGC0001655,MIBiG,MIBiG
BGC0001656,BGC0001656,MIBiG,MIBiG
BGC0001657,BGC0001657,MIBiG,MIBiG
BGC0001658,BGC0001658,MIBiG,MIBiG
BGC0001659,BGC0001659,MIBiG,MIBiG
BGC0001660,BGC0001660,MIBiG,MIBiG
BGC0001661,BGC0001661,MIBiG,MIBiG
BGC0001662,BGC0001662,MIBiG,MIBiG
BGC0001663,BGC0001663,MIBiG,MIBiG
BGC0001664,BGC0001664,MIBiG,MIBiG
BGC0001665,BGC0001665,MIBiG,MIBiG
BGC0001666,BGC0001666,MIBiG,MIBiG
BGC0001667,BGC0001667,MIBiG,MIBiG
BGC0001668,BGC0001668,MIBiG,MIBiG
BGC0001669,BGC0001669,MIBiG,MIBiG
BGC0001670,BGC0001670,MIBiG,MIBiG
BGC0001671,BGC0001671,MIBiG,MIBiG
BGC0001672,BGC0001672,MIBiG,MIBiG
BGC0001674,BGC0001674,MIBiG,MIBiG
BGC0001675,BGC0001675,MIBiG,MIBiG
BGC0001677,BGC0001677,MIBiG,MIBiG
BGC0001678,BGC0001678,MIBiG,MIBiG
BGC0001679,BGC0001679,MIBiG,MIBiG
BGC0001681,BGC0001681,MIBiG,MIBiG
BGC0001682,BGC0001682,MIBiG,MIBiG
BGC0001683,BGC0001683,MIBiG,MIBiG
BGC0001684,BGC0001684,MIBiG,MIBiG
BGC0001685,BGC0001685,MIBiG,MIBiG
BGC0001686,BGC0001686,MIBiG,MIBiG
BGC0001687,BGC0001687,MIBiG,MIBiG
BGC0001690,BGC0001690,MIBiG,MIBiG
BGC0001692,BGC0001692,MIBiG,MIBiG
BGC0001693,BGC0001693,MIBiG,MIBiG
BGC0001694,BGC0001694,MIBiG,MIBiG
BGC0001695,BGC0001695,MIBiG,MIBiG
BGC0001696,BGC0001696,MIBiG,MIBiG
BGC0001699,BGC0001699,MIBiG,MIBiG
BGC0001700,BGC0001700,MIBiG,MIBiG
BGC0001701,BGC0001701,MIBiG,MIBiG
BGC0001702,BGC0001702,MIBiG,MIBiG
BGC0001703,BGC0001703,MIBiG,MIBiG
BGC0001704,BGC0001704,MIBiG,MIBiG
BGC0001705,BGC0001705,MIBiG,MIBiG
BGC0001706,BGC0001706,MIBiG,MIBiG
BGC0001707,BGC0001707,MIBiG,MIBiG
BGC0001708,BGC0001708,MIBiG,MIBiG
BGC0001709,BGC0001709,MIBiG,MIBiG
BGC0001711,BGC0001711,MIBiG,MIBiG
BGC0001712,BGC0001712,MIBiG,MIBiG
BGC0001713,BGC0001713,MIBiG,MIBiG
BGC0001715,BGC0001715,MIBiG,MIBiG
BGC0001716,BGC0001716,MIBiG,MIBiG
BGC0001717,BGC0001717,MIBiG,MIBiG
BGC0001718,BGC0001718,MIBiG,MIBiG
BGC0001719,BGC0001719,MIBiG,MIBiG
BGC0001720,BGC0001720,MIBiG,MIBiG
BGC0001721,BGC0001721,MIBiG,MIBiG
BGC0001722,BGC0001722,MIBiG,MIBiG
BGC0001723,BGC0001723,MIBiG,MIBiG
BGC0001724,BGC0001724,MIBiG,MIBiG
BGC0001725,BGC0001725,MIBiG,MIBiG
BGC0001726,BGC0001726,MIBiG,MIBiG
BGC0001727,BGC0001727,MIBiG,MIBiG
BGC0001728,BGC0001728,MIBiG,MIBiG
BGC0001729,BGC0001729,MIBiG,MIBiG
BGC0001730,BGC0001730,MIBiG,MIBiG
BGC0001731,BGC0001731,MIBiG,MIBiG
BGC0001732,BGC0001732,MIBiG,MIBiG
BGC0001733,BGC0001733,MIBiG,MIBiG
BGC0001735,BGC0001735,MIBiG,MIBiG
BGC0001736,BGC0001736,MIBiG,MIBiG
BGC0001737,BGC0001737,MIBiG,MIBiG
BGC0001738,BGC0001738,MIBiG,MIBiG
BGC0001739,BGC0001739,MIBiG,MIBiG
BGC0001740,BGC0001740,MIBiG,MIBiG
BGC0001741,BGC0001741,MIBiG,MIBiG
BGC0001742,BGC0001742,MIBiG,MIBiG
BGC0001743,BGC0001743,MIBiG,MIBiG
BGC0001745,BGC0001745,MIBiG,MIBiG
BGC0001746,BGC0001746,MIBiG,MIBiG
BGC0001747,BGC0001747,MIBiG,MIBiG
BGC0001748,BGC0001748,MIBiG,MIBiG
BGC0001749,BGC0001749,MIBiG,MIBiG
BGC0001750,BGC0001750,MIBiG,MIBiG
BGC0001751,BGC0001751,MIBiG,MIBiG
BGC0001752,BGC0001752,MIBiG,MIBiG
BGC0001753,BGC0001753,MIBiG,MIBiG
BGC0001755,BGC0001755,MIBiG,MIBiG
BGC0001756,BGC0001756,MIBiG,MIBiG
BGC0001757,BGC0001757,MIBiG,MIBiG
BGC0001758,BGC0001758,MIBiG,MIBiG
BGC0001759,BGC0001759,MIBiG,MIBiG
BGC0001760,BGC0001760,MIBiG,MIBiG
BGC0001761,BGC0001761,MIBiG,MIBiG
BGC0001762,BGC0001762,MIBiG,MIBiG
BGC0001763,BGC0001763,MIBiG,MIBiG
BGC0001764,BGC0001764,MIBiG,MIBiG
BGC0001765,BGC0001765,MIBiG,MIBiG
BGC0001767,BGC0001767,MIBiG,MIBiG
BGC0001768,BGC0001768,MIBiG,MIBiG
BGC0001769,BGC0001769,MIBiG,MIBiG
BGC0001770,BGC0001770,MIBiG,MIBiG
BGC0001771,BGC0001771,MIBiG,MIBiG
BGC0001772,BGC0001772,MIBiG,MIBiG
BGC0001773,BGC0001773,MIBiG,MIBiG
BGC0001774,BGC0001774,MIBiG,MIBiG
BGC0001775,BGC0001775,MIBiG,MIBiG
BGC0001776,BGC0001776,MIBiG,MIBiG
BGC0001777,BGC0001777,MIBiG,MIBiG
BGC0001778,BGC0001778,MIBiG,MIBiG
BGC0001779,BGC0001779,MIBiG,MIBiG
BGC0001780,BGC0001780,MIBiG,MIBiG
BGC0001781,BGC0001781,MIBiG,MIBiG
BGC0001782,BGC0001782,MIBiG,MIBiG
BGC0001783,BGC0001783,MIBiG,MIBiG
BGC0001784,BGC0001784,MIBiG,MIBiG
BGC0001785,BGC0001785,MIBiG,MIBiG
BGC0001786,BGC0001786,MIBiG,MIBiG
BGC0001787,BGC0001787,MIBiG,MIBiG
BGC0001788,BGC0001788,MIBiG,MIBiG
BGC0001789,BGC0001789,MIBiG,MIBiG
BGC0001790,BGC0001790,MIBiG,MIBiG
BGC0001791,BGC0001791,MIBiG,MIBiG
BGC0001792,BGC0001792,MIBiG,MIBiG
BGC0001793,BGC0001793,MIBiG,MIBiG
BGC0001794,BGC0001794,MIBiG,MIBiG
BGC0001795,BGC0001795,MIBiG,MIBiG
BGC0001796,BGC0001796,MIBiG,MIBiG
BGC0001797,BGC0001797,MIBiG,MIBiG
BGC0001799,BGC0001799,MIBiG,MIBiG
BGC0001800,BGC0001800,MIBiG,MIBiG
BGC0001801,BGC0001801,MIBiG,MIBiG
BGC0001802,BGC0001802,MIBiG,MIBiG
BGC0001806,BGC0001806,MIBiG,MIBiG
BGC0001807,BGC0001807,MIBiG,MIBiG
BGC0001808,BGC0001808,MIBiG,MIBiG
BGC0001809,BGC0001809,MIBiG,MIBiG
BGC0001810,BGC0001810,MIBiG,MIBiG
BGC0001811,BGC0001811,MIBiG,MIBiG
BGC0001812,BGC0001812,MIBiG,MIBiG
BGC0001813,BGC0001813,MIBiG,MIBiG
BGC0001814,BGC0001814,MIBiG,MIBiG
BGC0001816,BGC0001816,MIBiG,MIBiG
BGC0001817,BGC0001817,MIBiG,MIBiG
BGC0001818,BGC0001818,MIBiG,MIBiG
BGC0001819,BGC0001819,MIBiG,MIBiG
BGC0001820,BGC0001820,MIBiG,MIBiG
BGC0001822,BGC0001822,MIBiG,MIBiG
BGC0001823,BGC0001823,MIBiG,MIBiG
BGC0001824,BGC0001824,MIBiG,MIBiG
BGC0001825,BGC0001825,MIBiG,MIBiG
BGC0001826,BGC0001826,MIBiG,MIBiG
BGC0001827,BGC0001827,MIBiG,MIBiG
BGC0001828,BGC0001828,MIBiG,MIBiG
BGC0001829,BGC0001829,MIBiG,MIBiG
BGC0001830,BGC0001830,MIBiG,MIBiG
BGC0001831,BGC0001831,MIBiG,MIBiG
BGC0001833,BGC0001833,MIBiG,MIBiG
BGC0001834,BGC0001834,MIBiG,MIBiG
BGC0001835,BGC0001835,MIBiG,MIBiG
BGC0001836,BGC0001836,MIBiG,MIBiG
BGC0001837,BGC0001837,MIBiG,MIBiG
BGC0001838,BGC0001838,MIBiG,MIBiG
BGC0001839,BGC0001839,MIBiG,MIBiG
BGC0001840,BGC0001840,MIBiG,MIBiG
BGC0001841,BGC0001841,MIBiG,MIBiG
BGC0001842,BGC0002092,MIBiG,MIBiG
BGC0001843,BGC0001843,MIBiG,MIBiG
BGC0001844,BGC0001844,MIBiG,MIBiG
BGC0001845,BGC0001845,MIBiG,MIBiG
BGC0001846,BGC0001846,MIBiG,MIBiG
BGC0001847,BGC0001847,MIBiG,MIBiG
BGC0001848,BGC0001848,MIBiG,MIBiG
BGC0001849,BGC0001849,MIBiG,MIBiG
BGC0001850,BGC0001850,MIBiG,MIBiG
BGC0001851,BGC0001851,MIBiG,MIBiG
BGC0001852,BGC0001852,MIBiG,MIBiG
BGC0001853,BGC0001853,MIBiG,MIBiG
BGC0001854,BGC0001854,MIBiG,MIBiG
BGC0001856,BGC0001856,MIBiG,MIBiG
BGC0001857,BGC0001857,MIBiG,MIBiG
BGC0001858,BGC0001858,MIBiG,MIBiG
BGC0001859,BGC0001859,MIBiG,MIBiG
BGC0001860,BGC0001860,MIBiG,MIBiG
BGC0001861,BGC0001861,MIBiG,MIBiG
BGC0001862,BGC0001862,MIBiG,MIBiG
BGC0001863,BGC0001863,MIBiG,MIBiG
BGC0001864,BGC0001864,MIBiG,MIBiG
BGC0001865,BGC0001865,MIBiG,MIBiG
BGC0001866,BGC0001866,MIBiG,MIBiG
BGC0001867,BGC0001867,MIBiG,MIBiG
BGC0001868,BGC0001868,MIBiG,MIBiG
BGC0001869,BGC0001869,MIBiG,MIBiG
BGC0001870,BGC0001870,MIBiG,MIBiG
BGC0001872,BGC0001872,MIBiG,MIBiG
BGC0001873,BGC0001873,MIBiG,MIBiG
BGC0001874,BGC0001874,MIBiG,MIBiG
BGC0001875,BGC0001875,MIBiG,MIBiG
BGC0001876,BGC0001876,MIBiG,MIBiG
BGC0001877,BGC0001877,MIBiG,MIBiG
BGC0001878,BGC0001878,MIBiG,MIBiG
BGC0001879,BGC0001879,MIBiG,MIBiG
BGC0001880,BGC0001880,MIBiG,MIBiG
BGC0001881,BGC0001881,MIBiG,MIBiG
BGC0001882,BGC0001882,MIBiG,MIBiG
BGC0001884,BGC0001884,MIBiG,MIBiG
BGC0001885,BGC0001885,MIBiG,MIBiG
BGC0001886,BGC0001886,MIBiG,MIBiG
BGC0001887,BGC0001887,MIBiG,MIBiG
BGC0001888,BGC0001888,MIBiG,MIBiG
BGC0001889,BGC0001889,MIBiG,MIBiG
BGC0001890,BGC0001890,MIBiG,MIBiG
BGC0001891,BGC0001891,MIBiG,MIBiG
BGC0001892,BGC0001892,MIBiG,MIBiG
BGC0001893,BGC0001893,MIBiG,MIBiG
BGC0001894,BGC0001894,MIBiG,MIBiG
BGC0001895,BGC0001895,MIBiG,MIBiG
BGC0001896,BGC0001896,MIBiG,MIBiG
BGC0001897,BGC0001897,MIBiG,MIBiG
BGC0001899,BGC0001899,MIBiG,MIBiG
BGC0001902,BGC0001902,MIBiG,MIBiG
BGC0001903,BGC0001903,MIBiG,MIBiG
BGC0001904,BGC0001904,MIBiG,MIBiG
BGC0001905,BGC0001905,MIBiG,MIBiG
BGC0001906,BGC0001906,MIBiG,MIBiG
BGC0001907,BGC0001907,MIBiG,MIBiG
BGC0001909,BGC0001909,MIBiG,MIBiG
BGC0001910,BGC0001910,MIBiG,MIBiG
BGC0001911,BGC0001911,MIBiG,MIBiG
BGC0001913,BGC0001913,MIBiG,MIBiG
BGC0001917,BGC0001917,MIBiG,MIBiG
BGC0001918,BGC0001918,MIBiG,MIBiG
BGC0001919,BGC0001919,MIBiG,MIBiG
BGC0001920,BGC0001920,MIBiG,MIBiG
BGC0001922,BGC0001922,MIBiG,MIBiG
BGC0001923,BGC0001923,MIBiG,MIBiG
BGC0001924,BGC0001924,MIBiG,MIBiG
BGC0001925,BGC0001925,MIBiG,MIBiG
BGC0001926,BGC0001926,MIBiG,MIBiG
BGC0001927,BGC0001927,MIBiG,MIBiG
BGC0001928,BGC0001928,MIBiG,MIBiG
BGC0001929,BGC0001929,MIBiG,MIBiG
BGC0001931,BGC0001931,MIBiG,MIBiG
BGC0001934,BGC0001934,MIBiG,MIBiG
BGC0001937,BGC0001937,MIBiG,MIBiG
BGC0001938,BGC0001938,MIBiG,MIBiG
BGC0001940,BGC0001940,MIBiG,MIBiG
BGC0001941,BGC0001941,MIBiG,MIBiG
BGC0001942,BGC0001942,MIBiG,MIBiG
BGC0001944,BGC0001944,MIBiG,MIBiG
BGC0001945,BGC0001945,MIBiG,MIBiG
BGC0001947,BGC0001947,MIBiG,MIBiG
BGC0001948,BGC0001948,MIBiG,MIBiG
BGC0001949,BGC0001949,MIBiG,MIBiG
BGC0001950,BGC0001950,MIBiG,MIBiG
BGC0001951,BGC0001951,MIBiG,MIBiG
BGC0001952,BGC0001952,MIBiG,MIBiG
BGC0001953,BGC0001953,MIBiG,MIBiG
BGC0001954,BGC0001954,MIBiG,MIBiG
BGC0001955,BGC0001955,MIBiG,MIBiG
BGC0001956,BGC0001956,MIBiG,MIBiG
BGC0001957,BGC0001957,MIBiG,MIBiG
BGC0001959,BGC0001959,MIBiG,MIBiG
BGC0001960,BGC0001960,MIBiG,MIBiG
BGC0001962,BGC0001962,MIBiG,MIBiG
BGC0001963,BGC0001963,MIBiG,MIBiG
BGC0001964,BGC0001964,MIBiG,MIBiG
BGC0001965,BGC0001965,MIBiG,MIBiG
