genome_ID,M24,M25,M26,M36,M37,M38,M39,M33,M42,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M25_B110,0,0.024749244,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_A,
Aegir_M25_B111,0,0.034099326,0,0,0,0,0,0,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,,
Aegir_M25_B112,0,0.02156433,0,0,0,0,0,0,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,JdFR-41,
Aegir_M25_B113,0.002992034,0.09487368,0,0,0,0,0,0,0.009969294,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,
Aegir_M25_B114,0.06723244,0.021195667,0,0.008826165,0,0.00194216,0.13580243,0.003029747,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,
Aegir_M25_B115,0,0.13041714,0.003152872,0.00171355,0,0,0.01847656,0,0.002523714,Bacteria,Acidobacteriota,Holophagae,Thermotomaculales,Thermotomaculaceae,Thermotomaculum,
Aegir_M25_B116,0.005619772,0.07529595,0,0.007312127,0,0.003294112,0.050778087,0.005827415,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,
Aegir_M25_B117,0,0.046876438,0.000852959,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WANQ01,JALWGO01,
Aegir_M25_B118,0,0.023487657,0,0,0,0,0.001927638,0,0,Bacteria,Patescibacteria,WWE3,2-01-FULL-39-13,,,
Aegir_M25_B119,0,0.09495724,0,0,0,0,0,0,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,,
Aegir_M25_B12,0,0.032315075,0,0,0,0,0,0,0,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,S143-5,
Aegir_M25_B120,0,0.032749813,0,0,0,0,0,0,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,,
Aegir_M25_B121,0,0.02492644,0,0,0,0,0,0,0,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,S140-46,S140-46,
Aegir_M25_B122,0.004875701,0.67762417,0,0,0,0,0.013107566,0,0.09639461,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylohalobius,
Aegir_M25_B123,0,0.03972765,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAON01,
Aegir_M25_B124,0.004359244,0.05812767,0,0,0,0,0.022673162,0,0,Bacteria,Chloroflexota,Anaerolineae,J102,J102,M2005,
Aegir_M25_B125,0.003921871,0.3263674,0,0.0269771,0,0,0.00628911,0,0.006296231,Bacteria,Chloroflexota,Anaerolineae,4572-78,J111,J111,
Aegir_M25_B126,0,0.06869777,0.003614867,0.002084776,0,0,0.00433806,0,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,,
Aegir_M25_B127,0.003746959,0.04297792,0.048554078,0,0,0.004994789,0,0.001474293,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp913056305
Aegir_M25_B128,0,0.06646737,0,0.005192795,0,0,0,0,0,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B129,0,0.040880717,0.04681046,0,0,0,0.002591609,0,0.1565007,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B13,0,0.13871658,0,0,0,0,0,0,0.014179167,Bacteria,Myxococcota,UBA796,UBA796,,,
Aegir_M25_B130,0.055912834,0.036428187,0,0.4022013,0.004474155,0.003766609,0.18398608,0,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
Aegir_M25_B131,0,0.119305946,0.043896183,0,0,0,0.006342311,0,0.50725293,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B132,0,0.46224904,0.005078754,0.001242926,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,WAOK01,
Aegir_M25_B133,0.001823411,0.046573173,0,0.005195416,0.003066391,0.001309379,0.033072826,0.002292175,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,CAJJDF01,CAJJDF01,
Aegir_M25_B134,0,0.064829014,0.025991466,0.003641182,0,0.004137589,0.005241892,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M25_B135,0,0.027676154,0.084193856,0.005696395,0,0.003052853,0.009693628,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M25_B136,0.001133206,0.11365064,0.001804618,0,0,0,0,0,0.2872423,Bacteria,Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,HRBIN39,
Aegir_M25_B137,0,0.022367535,0,0,0,0,0.001276522,0,0,Bacteria,DRYD01,DRYD01,,,,
Aegir_M25_B138,0.03396263,0.8303795,0,0,0,0,0,0,0.018919403,Bacteria,Pseudomonadota,Gammaproteobacteria,S140-43,S140-43,S140-43,
Aegir_M25_B139,0.004383775,0.67775553,0,0,0,0,0,0,0.41266945,Bacteria,Pseudomonadota,Gammaproteobacteria,J048,J048,J048,
Aegir_M25_B14,0.00596413,0.073240444,0,0.037327558,0,0.009463648,0.14847662,0.003343501,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,JAUXCJ01,
Aegir_M25_B140,0.010124363,0.034381982,0,0.016570637,0,0.014413279,0.006010792,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,BB10,
Aegir_M25_B141,0.004422115,0.060103655,0.007574447,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M25_B142,0.00284872,0.14799578,0,0.015252958,0,0,0.02508221,0,0,Bacteria,Chloroflexota,Anaerolineae,4572-78,4572-78,JANTHQ01,
Aegir_M25_B143,0,0.015618783,0,0,0,0,0,0,0,Archaea,Thermoproteota,JANJXX01,Panguiarchaeales,Panguiarchaeaceae,JAHKLH01,
Aegir_M25_B144,0.1322929,0.26992366,0,0.06844058,0.041896638,0.002024381,0.10772134,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,
Aegir_M25_B145,0,0.015747054,0.02715348,0,0,0,0.012286896,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M25_B146,0,0.66944647,0.08239693,0.008816152,0,0,0.030044468,0,0.6997197,Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,,,
Aegir_M25_B147,0,0.034886006,0,0,0,0.003096607,0.030859636,0,0,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,DRBY01,DRBY01 sp027491415
Aegir_M25_B148,0,0.07225988,0.028058711,0,0,0,0.006505784,0,0.00102551,Bacteria,DYJV01,DYJV01,DYJV01,JALVYZ01,JALVYZ01,
Aegir_M25_B149,0,0.168138,0.050919756,0,0,0,0,0,0,Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,Nanopusillaceae,,
Aegir_M25_B15,0,0.025416885,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,,
Aegir_M25_B150,0.004886754,0.15029562,0.0487123,0.010910236,0,0,0.013277363,0,0.006073462,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,UBA852,
Aegir_M25_B151,0.002254839,0.44140935,0.018252585,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,JALSNP01,
Aegir_M25_B152,0,0.16784869,0.001346824,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B153,0,0.019348666,0,0.010765514,0,0,0.011034598,0,0,Bacteria,Myxococcota,UBA796,UBA796,GCA-2862545,,
Aegir_M25_B154,0.003906421,0.041545644,0,0.039832495,0,0,0.009013598,0,0,Bacteria,Bacteroidota,Kapaibacteriia,Kapaibacteriales,UBA2268,ChocPot-Mid,
Aegir_M25_B155,0,0.029557912,0,0.004529178,0,0,0.008245233,0,0,Bacteria,WOR-3,Hydrothermia,,,,
Aegir_M25_B156,0,0.033266526,0,0,0,0,0,0,0,Bacteria,Atribacterota,JALVIU01,JALVIU01,JALVIU01,JALVIU01,
Aegir_M25_B157,0,0.03248338,0,0.011652965,0,0,0.001345441,0,0,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,,
Aegir_M25_B158,0,0.07014104,0.001292782,0,0,0,0.018123781,0,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DUEP01,
Aegir_M25_B159,0,0.051381323,0.004727943,0.001779035,0,0,0.001480745,0,0,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B16,0,0.020829711,0.027847348,0,0,0,0,0,0.000950731,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JALTDM01,JALTDM01,
Aegir_M25_B160,0,0.073057264,0,0.00268272,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,Hyperthermus,
Aegir_M25_B161,0.026826428,0.017732676,0,0.018576117,0.002265794,0,0.044663474,0.008203191,0.00164481,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
Aegir_M25_B162,0,0.115908444,0.0010754,0,0,0,0,0,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DRMV01,
Aegir_M25_B163,0.001290065,0.11912991,0.6736258,0,0,0,0.009336724,0,3.0089984,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B164,0,0.03547864,0,0.002752185,0,0,0.07668305,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitrosophilus_A,
Aegir_M25_B165,0.11730907,0.006828833,0,0.009813676,0,0.000702567,0.024361895,0,0,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
Aegir_M25_B166,0,0.078257754,0,0.00322297,0,0,0,0,0.013466902,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,S139-71,
Aegir_M25_B167,0,0.019711148,0,0.00252515,0,0,0.011203344,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,SZUA-545,JAOXRY01,
Aegir_M25_B168,0,0.049300447,0,0,0,0,0,0,0,Bacteria,JALSQH01,JALSQH01,,,,
Aegir_M25_B169,0.001397932,0.0154112,0,0,0,0,0.04822836,0.071860336,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-51,
Aegir_M25_B17,0,0.23291746,0,0.001177521,0,0,0.04295641,0,0,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
Aegir_M25_B170,0.08100311,0.014606589,0,0.82966363,0.056339126,0.009466838,0.15656091,0.002248179,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M25_B171,0.35023078,0.21209684,0,1.3660096,0.18731794,0.011042929,1.0096709,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
Aegir_M25_B172,0.00667692,0.008323196,0,0.022534408,0,0,0.028722944,0,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,
Aegir_M25_B173,0.06657981,0.091832526,0.10239459,0.23809455,0.053588953,0.026939427,0.07030681,0.01224223,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M25_B174,0,0.015918698,0,0.003007174,0,0,0.002938082,0,0,Bacteria,Myxococcota,SURF-8,SURF-8,,,
Aegir_M25_B175,0,0.016962828,0,0,0,0,0,0,0,Bacteria,DYJV01,DYJV01,DYJV01,JALVYZ01,JALVYZ01,
Aegir_M25_B176,0,0.021069245,0.000947211,0,0,0.003809039,0.010568291,0,0,Archaea,Thermoplasmatota,Thermoplasmata,WALJ01,WALJ01,WALJ01,
Aegir_M25_B177,0,0.017438632,0,0,0,0,0,0,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,,,
Aegir_M25_B178,0,0.06684748,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WAQK01,JALWQH01,
Aegir_M25_B18,0,0.25064686,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,EX4484-204,
Aegir_M25_B180,0,0.022150874,0,0,0,0,0,0,0,Bacteria,Chloroflexota,Anaerolineae,JAADDB01,JAADDB01,,
Aegir_M25_B181,0,1.5915319,0.003419074,0.00992318,0,0,0.014481218,0,0.037548933,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,JAADEN01,
Aegir_M25_B182,0.005637565,0.11851761,0,0.005616275,0,0.001192564,0.0938612,0.008105481,0.004995624,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,QNZT01,QNZT01,
Aegir_M25_B183,0,0.08593568,0,0,0,0,0.001151652,0,0.005609602,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,WALA01,,
Aegir_M25_B184,0,0.048818424,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Fervidicoccaceae,,
Aegir_M25_B185,0,0.053772032,0,0.001156035,0,0,0.00496435,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B186,0,0.047504567,0,0,0,0,0,0,0,Bacteria,WOR-3,Hydrothermia,B15-G9,WFZT01,WFZT01,
Aegir_M25_B187,0.001363503,0.037542384,0,0.002572652,0,0,0.03710908,0,0.006293492,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,
Aegir_M25_B188,0,0.03994987,0,0,0,0.001453728,0.034532223,0,0,Bacteria,KSB1,UBA2214,JACIZP01,JADDFT01,JADDFT01,
Aegir_M25_B189,0,0.022760414,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Sericytochromatia,UBA7694,UBA7694,JACYMC01,
Aegir_M25_B19,0.00102247,0.22428541,0.5077507,0,0,0,0.015562309,0,0.004443084,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M25_B190,0.22469728,0.013938407,0,0.010927018,0.014683197,0.003312202,0.026240462,0.007786331,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
Aegir_M25_B191,0.11070068,0.49958858,0.16617571,0.010926106,0,0,0.22501111,0,0.004691472,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
Aegir_M25_B192,0,0.033144172,0.004584032,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M25_B193,0.0920023,0.058842994,0,0.3147946,0.001431911,0.005008884,0.12953362,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
Aegir_M25_B194,0,0.017335348,0,0,0,0,0,0,0,Bacteria,WOR-3,Hydrothermia,WGAB01,,,
Aegir_M25_B195,0,0.084418945,0.4095565,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,QNYQ01,
Aegir_M25_B196,0.013849476,0.12981172,2.4159312,0.004250568,0.002737911,0.041671827,0.13964197,0.002108846,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
Aegir_M25_B197,0.008392862,0.011849529,0,0.001734286,0.01545987,0.010070185,0.042227764,0.001026505,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,S145-25,
Aegir_M25_B198,0,0.27143332,0,0,0,0,0.036102146,0,0.10132605,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,,
Aegir_M25_B199,0.002642452,0.8804939,0,0.009738548,0,0,0.016595716,0,0.003611656,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Sulfidibacterium,
Aegir_M25_B2,0,0.033475075,0,0,0,0,0,0,0,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAGGZO01,
Aegir_M25_B20,0,0.059587974,0.1800657,0,0,0,0.001759325,0,1.0015571,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,WFXV01,
Aegir_M25_B200,0,0.07732983,0,0.001741068,0,0.00762467,0,0,0,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,WGAL01,
Aegir_M25_B201,0.003013159,0.028120682,0.04751146,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M25_B202,0,0.039920837,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Dojkabacteria,GCA-002793355,GCA-002793355,,
Aegir_M25_B203,0.002330877,0.25090232,0.032677438,0,0,0,0.001093898,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALSQL01,
Aegir_M25_B204,0,0.03335364,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALWTO01,
Aegir_M25_B205,0.10325044,0.011218702,0,0.044418424,0.034007628,0.009917873,0.01930324,0.03591239,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B206,0,0.037196826,0,0,0,0,0,0,0.011850956,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,S146-30,
Aegir_M25_B207,0,0.021009248,0,0.0173517,0,0,0.006494775,0,0,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,
Aegir_M25_B208,0,0.029167965,0.00232818,0,0,0,0,0,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,JAADDC01,
Aegir_M25_B209,0.019105107,0.010445751,0,0.003509387,0,0.004333248,0.31825814,0.004455946,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
Aegir_M25_B21,0,0.11571724,0.20587544,0.001700354,0,0,0.13240753,0,0,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,
Aegir_M25_B210,0,0.02768915,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,,
Aegir_M25_B211,0.00166558,0.07748422,0.001152164,0.001175245,0,0,0,0,0,Archaea,Thermoproteota,JANJXX01,JAMOTR01,JAMOTR01,JAMOTR01,
Aegir_M25_B212,0,0.049410313,0.005943256,0,0,0,0.013137715,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M25_B213,0.17054726,1.9993548,0.001479363,0.021976935,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALSSV01,
Aegir_M25_B214,0.11670767,0.01431033,0,0.22561432,0.009752977,0,0.04081035,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,
Aegir_M25_B215,0.048956323,0.21734618,0,0.028148228,0,0.000693377,0.06412653,0,0,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
Aegir_M25_B216,0,0.037202694,0.001938869,0,0,0,0,0,0.013172604,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,,
Aegir_M25_B217,0.007554889,0.021004671,0,0.005761374,0,0.001786955,0.010081414,0,0.002651084,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Aegir_M25_B218,0,0.15522927,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B219,0,0.11966868,0,0.004481926,0,0,0.005608171,0,0,Bacteria,Patescibacteria,Dojkabacteria,B142,JAFGMG01,,
Aegir_M25_B22,0,0.03555764,0.25715154,0,0,0,0.006086436,0,0,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium_B,
Aegir_M25_B220,0,0.029569134,0.13537903,0,0,0,0.014140206,0,0.005470802,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,JAADED01,JALSPZ01,
Aegir_M25_B221,0,0.03727042,0,0,0,0.001473378,0.012124588,0,0,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
Aegir_M25_B222,0,0.017955225,0,0.002495814,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAML01,
Aegir_M25_B223,0,0.026860695,0,0.001475732,0,0.007794095,0.0675614,0,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,B5-G16,
Aegir_M25_B224,0,0.051310576,0,0.001800857,0,0,0.004560111,0,0,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,Dissulfuribacter,
Aegir_M25_B225,0,0.07784484,0.013728006,0.009739044,0,0,0.076692656,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B226,0.009333909,0.033190016,0,0,0,0,0,0,0.07427637,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,JALUVI01,
Aegir_M25_B227,0.005241439,0.041819766,0,0.001553556,0,0,0.004666725,0,0,Bacteria,Patescibacteria,Paceibacteria,Moranbacterales,GCA-2747515,JALVQA01,
Aegir_M25_B228,0,1.0171356,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,JALSQL01,
Aegir_M25_B229,0.002270103,0.2107653,0,0.001845278,0,0,0.026455313,0.001776443,0.006722152,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,
Aegir_M25_B23,0.004401041,0.22902651,0.016969446,0.003406433,0,0,0.004142504,0,0.00812527,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DRMV01,
Aegir_M25_B230,0,0.07719907,0.012863118,0.001184682,0,0,0,0,0,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B231,0.004271454,0.3722841,0,0.003788536,0,0,0.001943239,0,0,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator_A,
Aegir_M25_B232,0,0.03627996,0,0.001553373,0,0.000727882,0.024730243,0,0.004744891,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,
Aegir_M25_B233,0,0.04456618,0,0,0,0,0.001034498,0,0,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,WALU01,WALU01 sp027491395
Aegir_M25_B234,0,0.05132379,0.49365154,0.002918966,0,0.003336491,0.027592745,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,JALSKU01,JALSKU01,
Aegir_M25_B235,0.054387912,0.006513672,0,0.004781342,0,0,0.088722125,0,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,
Aegir_M25_B236,0,0.029526293,0.00672516,0.00513319,0,0,0.004871106,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,
Aegir_M25_B237,0.013484665,0.02189225,0,0,0.048764184,0.003466717,0.001313397,0.06651699,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M25_B238,0.113372564,0.06340252,0,0.007080515,0,0,0.02933978,0.004376443,0.030561259,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,
Aegir_M25_B239,0,0.24085625,0,0,0,0,0.014014558,0,0.01649708,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,J125,
Aegir_M25_B24,0.30554566,0.012068225,0,0,0.22460352,0.005741864,0.102104865,0.007546763,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M25_B240,0,0.2067145,0,0,0,0,0,0,0.026587341,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,J096,WAKO01,
Aegir_M25_B241,0.03831965,0.020025488,0,0.06362723,0.1631323,0.010446249,0.33862025,0.027229458,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M25_B242,0.030190205,0.111758806,0.01463945,0.017844142,0,0.001807064,0.14683473,0,0.004823371,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M25_B243,0,0.020947577,0,0,0,0,0,0,0,Archaea,Micrarchaeota,Micrarchaeia,CAILAH01,CAILAH01,,
Aegir_M25_B244,0,0.037416507,0.001499685,0.001405236,0,0,0.008267687,0,0,Bacteria,DYJV01,DYJV01,DYJV01,DYJV01,,
Aegir_M25_B245,0.001573951,2.1594522,0.009540228,0.001638108,0,0,0.011314759,0,1.1820785,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,JALSSE01,
Aegir_M25_B246,0,0.01811914,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermocladiaceae,,
Aegir_M25_B247,0,0.023739295,0,0.004501143,0,0.020057166,0.002509116,0,0,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,,
Aegir_M25_B248,0,0.08236611,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,S143-63,
Aegir_M25_B249,0,0.06844849,0,0,0,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,UBA4466 sp013373595
Aegir_M25_B25,0,0.07689807,0,0.001765844,0,0,0.010584486,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,JACXUG01,
Aegir_M25_B250,0,0.030377906,0,0,0,0,0,0,0,Archaea,Thermoproteota,JANJXX01,JAMOTR01,JAMOTR01,JAMOTR01,
Aegir_M25_B251,0,0.92519623,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,WAQM01,
Aegir_M25_B252,0,0.023381265,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,
Aegir_M25_B253,0.003043657,0.10744997,0,0.005473474,0,0,0.015328699,0,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Villigracilaceae,S143-42,
